,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.12,2.84,5.66,5.94,5.48,5.07,1.66,1.38,1.15,0.96,1.16,1.21,0.83,3.37,0.99,1.14
f_1,4.87,1.12,4.41,4.6,5.39,5.36,1.04,1.57,1.0,1.12,1.92,1.16,0.63,1.0,0.99,0.93
d_1,6.98,5.9,1.12,5.93,5.91,4.46,1.64,0.99,3.05,0.92,1.21,0.98,0.7,0.98,0.48,0.84
c_1,4.36,6.57,6.94,1.13,6.29,6.03,1.65,2.17,0.62,2.53,1.0,1.18,0.77,0.93,0.82,1.2
b_1,7.0,8.87,7.62,3.72,1.14,6.72,2.41,2.98,1.5,1.81,1.48,3.41,1.21,1.4,1.08,1.73
a_1,12.29,9.72,8.5,8.85,4.66,1.15,2.95,2.3,1.78,1.88,2.09,2.48,1.18,1.87,1.52,5.24
h_1,18.46,19.49,17.68,17.26,15.36,15.49,1.77,5.02,4.14,3.74,3.6,3.78,4.69,3.31,2.49,3.22
g_1,21.87,24.13,23.01,27.81,22.39,19.58,4.43,1.84,5.51,4.55,5.37,4.51,2.58,4.31,5.52,5.09
d_0,11.93,23.82,44.79,24.17,24.92,26.95,6.45,7.51,2.44,5.16,4.41,5.38,3.38,5.91,4.03,5.09
c_0,24.82,22.22,11.74,64.12,25.16,21.84,6.65,6.19,7.14,2.45,5.08,4.62,3.73,4.27,3.29,6.62
f_0,21.36,51.32,25.07,29.09,25.4,25.62,7.69,4.54,5.0,4.74,2.32,5.38,4.04,4.86,2.27,4.68
b_0,22.4,25.66,23.17,38.32,62.9,30.07,7.22,6.61,6.37,2.98,4.91,2.27,3.89,6.4,4.27,5.09
h_0,31.95,32.25,27.99,30.8,37.21,25.94,16.76,11.32,7.47,7.56,7.29,6.65,7.65,6.19,4.72,6.38
e_0,69.32,49.24,36.12,40.28,30.37,38.43,8.3,11.72,8.44,6.02,3.62,6.43,6.61,2.54,3.86,7.47
g_0,36.74,46.72,38.17,41.34,41.28,37.05,9.98,19.65,8.33,8.12,7.9,7.08,4.32,8.53,7.64,7.31
a_0,39.51,44.99,44.2,39.27,41.94,109.21,12.7,10.6,9.85,6.99,9.03,3.83,5.81,9.85,6.08,2.58
