,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,17.22,0.39,0.62,0.7,0.53,0.38,0.81,2.29,0.87,0.91,0.84,1.05,1.02,1.3,0.43,1.01
d_1,0.4,21.6,0.5,0.38,0.51,0.52,0.84,0.32,2.3,0.93,1.26,1.11,1.06,0.91,1.51,1.08
f_1,1.09,0.47,18.46,0.59,0.36,0.68,0.73,0.72,0.75,0.71,0.8,0.21,1.09,0.77,0.75,0.88
c_1,0.47,0.44,0.53,18.74,1.34,0.41,1.04,0.75,0.28,0.82,0.66,0.95,0.83,0.82,0.95,0.79
b_1,0.52,0.59,0.61,0.4,21.37,1.2,0.73,0.78,0.71,0.86,0.33,0.82,0.89,0.83,0.65,0.63
a_1,0.6,0.58,0.59,0.54,0.31,32.66,1.02,0.96,0.96,0.92,1.08,1.08,0.83,0.93,0.84,0.4
h_1,0.68,0.7,0.89,0.7,0.61,0.59,5.48,1.07,0.95,1.39,1.18,1.12,0.64,1.48,1.24,1.35
d_0,0.59,0.24,0.84,1.9,0.67,0.64,1.16,3.36,0.7,0.99,1.27,0.94,1.22,1.0,0.97,1.46
c_0,0.72,0.96,0.72,0.42,0.6,0.72,1.01,1.18,3.32,0.93,3.3,1.47,1.19,1.22,1.48,1.43
g_1,0.42,1.52,0.51,0.75,0.6,0.47,1.13,1.01,1.1,7.14,1.25,2.17,0.83,0.78,1.35,1.08
b_0,0.6,0.85,0.78,0.74,0.34,0.45,1.6,1.05,1.16,1.06,4.43,1.43,1.43,1.37,1.11,3.19
f_0,0.65,0.99,0.26,0.68,0.8,0.64,1.37,1.27,1.3,1.03,1.49,3.85,1.35,1.78,2.64,1.24
h_0,0.79,0.83,1.1,0.69,0.56,0.61,0.58,1.19,1.15,1.63,1.2,1.17,0.63,1.75,1.02,1.01
g_0,0.48,1.58,0.48,0.81,0.6,0.72,1.35,1.0,1.12,0.79,1.01,2.15,1.19,0.56,1.07,1.12
e_0,0.27,0.83,0.69,0.85,0.67,0.86,1.38,1.0,1.44,1.17,1.71,1.59,2.03,1.74,5.96,1.25
a_0,0.56,0.81,0.57,0.86,0.8,0.43,1.29,1.35,1.24,1.27,1.42,1.34,1.55,1.28,1.29,4.78
