,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.1,1.76,3.19,2.72,3.14,3.03,0.85,0.6,0.54,0.52,0.84,0.8,0.45,0.54,1.01,0.58
f_1,2.6,1.1,2.83,2.62,2.7,2.36,0.56,0.7,0.54,0.53,0.82,0.75,0.32,0.55,0.5,0.47
c_1,2.51,3.35,1.1,4.7,3.08,2.81,0.88,0.38,1.05,0.71,0.91,0.66,0.46,0.61,0.68,0.43
d_1,4.39,3.43,3.35,1.1,3.36,3.48,0.91,1.28,0.64,0.73,0.62,0.64,0.45,0.64,0.53,0.3
b_1,3.81,4.12,2.21,4.36,1.12,4.45,1.24,0.87,1.02,1.69,1.23,1.01,0.65,0.98,0.76,0.55
a_1,5.89,7.41,5.64,5.57,2.77,1.13,1.74,1.36,1.38,1.85,1.63,1.17,0.9,2.18,1.27,0.95
h_1,11.39,13.24,11.46,10.91,11.56,9.71,1.68,2.65,2.4,2.33,2.98,2.39,2.15,2.18,2.21,1.7
d_0,8.47,13.47,14.53,21.45,12.79,13.16,4.76,1.94,3.05,2.94,5.09,2.87,2.31,2.58,3.25,2.5
c_0,18.21,17.71,27.52,8.41,17.45,11.72,4.54,4.88,2.0,2.91,4.24,3.28,2.34,2.98,2.94,2.01
b_0,17.24,19.99,29.97,14.6,26.94,16.29,4.99,4.11,2.22,1.98,4.89,3.43,2.66,3.5,3.5,2.93
g_1,19.78,22.16,21.8,16.54,21.51,17.16,4.04,4.34,3.35,3.58,1.74,3.14,1.83,3.16,2.94,3.22
f_0,19.39,33.72,24.15,17.67,21.02,17.8,5.32,4.71,3.77,4.06,3.63,1.98,2.8,3.74,3.75,1.62
h_0,23.76,26.38,23.48,21.01,22.93,16.86,9.69,5.28,4.5,5.07,6.55,4.54,4.36,5.35,3.91,3.19
a_0,23.06,23.79,30.8,21.3,30.83,28.26,7.81,6.49,4.43,2.4,6.0,5.34,3.64,2.26,4.33,3.66
e_0,33.59,30.54,25.63,22.87,23.13,23.16,7.05,5.89,5.84,5.69,6.81,2.48,4.01,5.42,2.3,3.46
g_0,29.75,32.05,30.52,27.04,33.04,24.96,6.81,6.09,5.67,5.17,9.51,5.53,3.1,5.66,4.99,4.95
