,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.94,0.37,0.41,0.51,0.37,0.21,0.28,0.49,0.26,0.27,0.24,0.26,0.25,0.28,0.13,0.19
d_1,0.4,0.95,0.43,0.36,0.36,0.27,0.28,0.19,0.44,0.22,0.29,0.25,0.25,0.18,0.24,0.18
f_1,0.64,0.4,0.94,0.46,0.28,0.32,0.24,0.23,0.24,0.22,0.22,0.11,0.24,0.21,0.15,0.17
c_1,0.39,0.4,0.42,0.94,0.67,0.23,0.32,0.21,0.15,0.23,0.2,0.25,0.23,0.19,0.18,0.15
b_1,0.46,0.48,0.54,0.31,0.94,0.55,0.27,0.27,0.26,0.26,0.16,0.22,0.26,0.21,0.14,0.13
a_1,0.6,0.52,0.51,0.53,0.26,0.94,0.38,0.34,0.32,0.32,0.34,0.31,0.26,0.25,0.18,0.13
h_1,0.69,0.69,0.81,0.66,0.57,0.38,0.74,0.42,0.39,0.43,0.37,0.35,0.29,0.37,0.28,0.29
d_0,0.56,0.43,0.83,1.22,0.63,0.43,0.49,0.66,0.33,0.38,0.44,0.34,0.4,0.32,0.27,0.32
c_0,0.76,0.71,0.76,0.64,0.6,0.47,0.46,0.52,0.66,0.36,0.71,0.45,0.4,0.36,0.34,0.32
g_1,0.55,1.05,0.63,0.76,0.58,0.35,0.46,0.44,0.46,0.74,0.45,0.58,0.3,0.3,0.32,0.27
b_0,0.71,0.77,0.83,0.81,0.5,0.35,0.6,0.44,0.4,0.39,0.67,0.44,0.45,0.4,0.28,0.52
f_0,0.74,0.87,0.52,0.75,0.75,0.45,0.57,0.53,0.5,0.35,0.49,0.64,0.45,0.42,0.47,0.3
h_0,0.86,0.85,0.99,0.8,0.62,0.48,0.4,0.53,0.5,0.6,0.45,0.43,0.34,0.49,0.27,0.27
g_0,0.65,1.27,0.71,0.93,0.67,0.55,0.58,0.51,0.51,0.4,0.42,0.61,0.43,0.3,0.3,0.31
e_0,0.56,0.82,0.9,0.93,0.78,0.63,0.61,0.52,0.58,0.45,0.6,0.48,0.63,0.52,0.63,0.32
a_0,0.76,0.89,0.8,0.99,0.84,0.47,0.61,0.59,0.55,0.52,0.46,0.52,0.57,0.46,0.38,0.59
