,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,1.76,2.29,2.0,2.17,1.41,0.64,0.65,0.75,0.55,0.6,0.64,0.32,0.53,0.38,0.45
d_1,2.41,1.05,2.2,2.02,1.8,1.75,0.89,0.86,0.59,0.83,0.63,0.6,0.5,0.57,0.56,0.35
e_1,1.39,2.33,1.06,2.47,2.11,1.92,0.82,0.84,0.9,0.58,0.66,0.79,0.56,0.57,0.86,0.54
c_1,2.36,2.82,1.87,1.06,2.71,2.16,0.73,0.42,0.77,0.84,0.58,0.59,0.53,0.56,0.52,0.47
b_1,2.53,2.65,2.66,1.54,1.06,2.35,1.15,0.82,0.89,0.9,1.06,0.65,0.63,0.63,0.78,0.59
a_1,4.99,3.23,3.1,2.94,1.86,1.07,1.27,1.03,1.42,0.93,1.02,0.87,0.83,1.2,0.87,0.61
h_1,5.74,5.11,5.62,6.54,4.8,4.65,1.31,1.61,2.11,1.46,1.51,1.56,1.46,1.17,1.3,1.43
d_0,6.67,8.5,3.82,7.43,7.01,6.04,2.8,1.51,2.28,1.69,1.82,1.81,1.42,1.55,1.69,1.42
g_1,6.71,6.9,6.57,6.77,6.27,5.19,1.95,2.11,1.33,1.99,1.84,2.05,1.2,1.88,1.49,2.0
c_0,7.45,4.02,6.95,11.0,6.61,5.79,2.87,2.91,2.47,1.48,2.55,1.77,1.76,1.62,1.58,1.5
b_0,7.26,7.35,6.47,8.51,9.38,6.21,2.69,1.94,2.44,1.22,1.48,2.03,1.83,2.2,1.92,1.53
f_0,12.46,7.33,7.0,8.61,7.37,6.77,2.81,2.24,2.21,2.24,2.15,1.52,1.83,1.83,2.51,1.19
h_0,10.53,8.29,8.47,9.01,7.68,6.88,4.29,3.06,3.51,2.42,2.16,2.6,2.53,1.98,1.87,2.4
a_0,10.97,8.41,9.32,9.98,13.0,10.81,4.26,3.1,3.12,3.28,1.68,2.83,2.52,1.57,2.14,2.09
e_0,17.46,9.66,11.51,11.16,10.75,7.76,3.95,3.16,3.48,3.27,2.66,1.62,2.38,3.01,1.57,1.94
g_0,11.89,11.77,9.61,10.5,9.35,10.17,3.13,3.3,3.91,3.08,2.89,3.16,1.85,2.4,2.84,2.78
