,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,1.34,0.98,1.47,1.47,1.32,0.65,0.71,0.69,0.5,0.59,0.58,0.54,0.55,0.91,0.46
d_1,1.72,0.65,1.61,1.36,1.34,1.13,0.75,0.46,0.82,0.56,0.51,0.46,0.34,0.54,0.43,0.32
f_1,1.6,1.29,0.65,1.3,1.4,1.42,0.45,0.64,0.46,0.48,0.48,0.78,0.33,0.53,0.4,0.45
c_1,1.29,1.76,1.44,0.64,1.75,1.27,0.65,0.64,0.34,0.71,0.45,0.46,0.41,0.42,0.46,0.35
b_1,1.46,1.59,1.55,0.95,0.63,1.84,0.91,0.73,0.62,0.66,0.81,0.61,0.44,0.46,0.55,0.48
a_1,1.78,1.96,1.87,2.33,0.96,0.58,0.7,1.02,0.73,0.69,0.78,0.63,0.69,0.83,0.74,0.56
h_1,2.15,2.03,2.82,2.31,1.78,2.04,0.57,0.97,0.84,0.76,0.83,0.77,0.84,0.64,0.62,0.68
g_1,2.33,2.46,2.42,2.27,2.15,1.72,0.86,0.56,0.82,0.82,0.86,0.89,0.56,0.64,0.86,1.0
d_0,1.36,3.52,2.51,2.76,2.55,2.04,1.02,1.34,0.63,0.92,0.97,0.86,0.71,0.8,0.81,0.69
c_0,2.31,1.51,2.33,4.13,2.5,2.43,1.12,0.95,1.09,0.64,1.05,0.99,0.78,0.89,0.8,0.65
b_0,2.12,2.08,2.57,3.58,4.06,2.04,1.01,1.12,0.89,0.49,0.61,0.85,0.68,0.83,0.75,0.61
f_0,2.42,2.4,3.17,3.05,2.66,1.79,1.21,0.8,1.02,0.86,0.92,0.6,0.82,0.7,0.92,0.47
h_0,2.63,3.2,2.87,2.84,2.86,2.1,1.54,1.34,1.0,0.96,1.01,0.83,1.04,0.86,0.76,0.81
a_0,2.69,2.43,2.8,2.96,4.06,3.98,1.39,1.61,1.1,0.94,0.68,1.09,0.94,0.59,0.92,0.73
e_0,3.54,3.12,3.64,3.01,3.26,2.6,1.44,1.11,1.11,1.03,1.14,0.59,0.85,0.92,0.57,0.83
g_0,3.15,3.2,2.96,3.28,3.09,2.42,1.13,1.71,1.27,1.18,1.28,1.24,0.71,0.99,0.95,1.11
