,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.43,1.39,1.39,1.83,1.51,1.45,2.97,2.91,4.81,2.91,3.33,3.58,4.04,4.0,3.44,3.31
f_1,2.19,2.46,1.36,1.56,1.3,1.23,2.64,2.79,3.31,2.99,3.28,2.44,3.21,3.83,3.26,2.55
d_1,1.43,1.63,2.57,1.2,1.52,1.47,2.93,2.82,2.72,4.94,3.92,3.72,4.29,3.47,3.49,3.37
c_1,1.3,1.43,1.62,2.6,2.25,1.53,2.65,2.8,2.65,2.36,2.4,2.89,3.91,4.0,3.2,3.09
b_1,1.44,1.55,1.46,1.35,2.73,2.35,2.75,2.65,2.98,3.55,2.69,3.05,4.27,4.05,2.89,3.83
a_1,1.42,1.69,1.44,1.6,1.35,3.3,3.25,3.29,3.29,2.62,3.39,3.17,4.43,4.46,2.85,3.39
h_1,1.5,1.85,1.56,1.63,1.47,1.42,4.14,3.56,3.1,3.12,3.5,4.02,3.52,5.31,3.75,3.79
g_1,1.42,1.47,2.11,1.51,1.51,1.52,2.73,4.57,2.56,3.44,3.48,4.76,4.04,3.85,3.89,4.22
d_0,1.3,1.68,1.32,2.44,1.55,1.47,2.94,3.03,4.19,2.61,3.34,3.41,4.42,4.26,3.55,3.98
c_0,1.65,1.67,1.47,1.55,1.28,1.56,3.31,3.0,3.75,4.42,6.02,3.76,4.28,4.69,4.11,3.62
b_0,1.48,1.68,1.63,1.9,1.52,1.43,3.13,3.02,3.24,2.75,4.68,3.39,4.5,4.69,6.15,3.64
f_0,1.26,1.43,1.71,1.74,1.56,1.85,2.73,2.85,3.44,3.53,3.8,4.85,4.77,4.56,3.97,6.13
h_0,1.47,2.14,1.55,1.53,1.41,1.38,2.76,3.53,3.15,3.27,3.11,3.18,3.78,4.84,3.33,3.26
g_0,1.34,1.57,2.3,1.61,1.41,1.36,2.78,2.69,2.96,3.1,3.37,4.49,4.06,3.62,3.24,3.36
a_0,1.6,1.71,1.44,1.81,1.63,1.46,3.02,2.65,3.42,3.48,3.06,3.42,4.74,4.26,5.34,3.55
e_0,1.18,1.73,1.71,1.82,1.43,1.75,3.29,2.87,3.27,3.27,3.59,3.39,4.55,4.66,3.67,5.47
