,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.24,0.45,0.22,0.19,0.19,0.15,0.4,0.32,0.42,0.43,0.4,0.09,0.64,0.37,0.44,0.21
e_1,0.24,2.3,0.21,0.24,0.2,0.18,0.4,0.29,0.49,0.99,0.36,0.48,0.62,0.35,0.6,0.12
d_1,0.3,0.2,2.31,0.17,0.19,0.13,0.4,0.51,0.9,0.12,0.54,0.37,0.57,0.39,0.53,0.35
c_1,0.25,0.21,0.26,2.45,0.38,0.13,0.37,0.27,0.09,0.47,0.36,0.5,0.33,0.26,0.57,0.36
b_1,0.2,0.24,0.23,0.24,2.53,0.29,0.46,0.29,0.48,0.4,0.12,0.42,0.67,0.28,0.43,0.37
a_1,0.27,0.21,0.22,0.2,0.19,3.02,0.42,0.33,0.41,0.42,0.56,0.56,0.71,0.1,0.55,0.43
h_1,0.55,0.31,0.47,0.35,0.27,0.29,2.83,0.8,0.87,0.87,0.86,0.6,0.39,0.57,1.29,0.69
g_1,0.31,0.35,0.59,0.42,0.28,0.25,0.62,3.1,0.93,0.72,0.86,1.16,0.92,0.61,0.47,0.56
c_0,0.43,0.37,0.42,0.18,0.35,0.4,0.73,0.7,2.3,0.92,1.71,0.98,0.96,0.88,0.98,0.62
d_0,0.42,0.38,0.12,0.76,0.35,0.31,0.63,0.79,0.63,2.16,0.74,0.84,0.93,0.53,0.84,0.72
b_0,0.46,0.34,0.4,0.45,0.14,0.32,0.73,0.92,0.9,0.92,2.45,0.94,0.89,1.44,1.03,0.99
f_0,0.11,0.34,0.42,0.43,0.41,0.42,0.93,0.59,0.81,1.0,0.99,2.41,1.07,0.8,0.89,1.71
h_0,0.54,0.34,0.41,0.33,0.36,0.29,0.27,1.05,0.88,0.83,0.8,0.91,0.39,0.9,1.21,0.52
a_0,0.38,0.41,0.52,0.36,0.38,0.1,0.84,1.0,0.84,0.72,0.96,1.01,1.13,2.94,0.91,0.53
g_0,0.35,0.33,0.6,0.39,0.31,0.38,0.8,0.36,0.76,0.83,0.75,1.13,0.93,0.68,0.3,0.96
e_0,0.42,0.1,0.45,0.53,0.34,0.31,0.92,0.72,0.81,1.0,0.88,1.01,1.25,0.8,0.54,2.96
