,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.44,1.6,1.6,1.58,1.82,1.6,0.36,0.34,0.44,0.34,0.34,0.58,0.18,0.34,0.29,0.31
e_1,0.95,0.43,1.75,1.89,1.98,1.71,0.6,0.35,0.61,0.35,0.32,0.39,0.26,0.34,0.3,0.79
d_1,1.87,2.16,0.42,1.79,1.73,1.53,0.5,0.87,0.3,0.33,0.31,0.32,0.23,0.33,0.17,0.34
c_1,1.89,1.27,2.74,0.41,1.64,1.78,0.47,0.21,0.54,0.66,0.39,0.34,0.27,0.38,0.23,0.37
b_1,2.15,2.05,2.06,1.07,0.38,2.11,0.63,0.48,0.67,0.66,1.03,0.36,0.26,0.4,0.31,0.44
a_1,2.94,2.77,1.98,2.28,1.23,0.32,0.76,0.61,0.71,0.56,0.67,0.51,0.43,0.91,0.3,0.49
h_1,3.06,2.58,2.79,2.72,2.81,1.98,0.33,0.51,0.84,0.52,0.45,0.46,0.64,0.49,0.42,0.39
d_0,3.07,1.67,6.28,3.87,3.28,3.09,0.99,0.37,1.46,0.63,0.61,0.64,0.56,0.53,0.55,0.76
g_1,3.89,3.16,3.25,2.92,3.11,2.91,0.72,0.85,0.3,0.73,0.62,0.59,0.32,0.6,0.69,0.61
c_0,4.19,2.97,1.68,7.18,3.35,3.03,0.89,0.88,0.94,0.35,0.61,0.56,0.54,0.66,0.52,0.67
b_0,3.76,3.22,2.71,4.82,6.56,2.7,1.06,0.86,0.88,0.36,0.36,0.65,0.51,0.66,0.48,0.53
f_0,6.39,3.37,3.03,3.36,3.83,3.35,1.18,0.7,0.66,0.68,0.69,0.35,0.56,0.67,0.34,0.77
h_0,4.24,4.29,3.56,3.33,3.87,3.64,1.67,0.85,1.11,0.79,0.83,0.73,0.76,0.69,0.56,0.72
a_0,3.68,4.1,4.19,4.32,5.41,5.36,1.37,0.91,1.24,0.65,0.41,0.73,0.6,0.33,0.57,1.01
g_0,4.42,4.48,3.9,4.9,4.22,3.78,0.9,0.77,1.78,0.73,0.74,0.83,0.51,0.85,0.96,0.92
e_0,4.51,6.97,3.9,4.18,3.89,4.48,1.28,0.88,1.27,0.77,0.7,0.42,0.77,1.02,0.59,0.29
