,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.32,0.95,1.01,0.68,0.68,0.7,1.34,1.17,2.95,1.66,1.67,1.46,1.43,2.09,0.94,1.95
f_1,1.51,2.42,0.83,0.77,0.65,0.58,1.16,1.28,1.71,1.63,1.58,0.75,1.26,2.08,1.05,1.73
c_1,0.74,0.79,2.45,0.76,1.39,0.65,1.57,1.35,1.67,1.23,0.78,1.78,1.42,1.97,1.42,2.01
d_1,0.74,0.86,0.73,2.51,0.76,0.72,1.73,1.56,1.22,2.13,2.99,1.69,1.52,1.99,1.62,1.78
b_1,0.83,0.81,0.79,0.76,2.6,1.33,1.54,1.25,1.46,0.92,1.54,1.44,1.01,2.16,1.22,1.97
a_1,0.84,0.9,0.84,0.94,0.74,2.93,1.89,1.58,1.56,1.84,1.56,1.41,1.09,2.33,1.49,1.71
h_1,0.89,1.37,0.84,0.94,0.88,0.59,3.31,1.91,1.63,1.71,1.84,1.54,1.57,1.8,1.72,2.73
g_1,0.82,0.87,0.91,1.39,0.73,0.6,1.67,3.58,1.43,1.85,1.86,2.67,1.45,2.21,2.04,1.41
d_0,0.86,1.0,1.61,0.61,0.9,0.68,1.49,1.25,2.93,1.86,1.3,1.58,1.66,2.34,1.66,1.92
b_0,0.92,0.98,0.99,1.08,0.57,0.59,1.77,1.52,1.76,3.25,2.29,2.01,3.75,2.57,1.85,2.38
c_0,1.04,1.05,0.72,0.98,0.65,0.73,1.76,1.43,1.91,3.66,3.2,1.86,2.26,2.65,1.8,2.29
f_0,0.72,0.75,0.97,0.99,0.99,0.68,1.76,1.64,1.82,2.05,1.98,3.41,2.06,2.51,3.54,2.12
a_0,0.88,1.12,0.85,1.03,0.96,0.44,1.58,1.42,2.05,1.94,1.93,1.72,3.37,2.81,1.72,2.72
h_0,0.93,1.26,0.88,1.01,0.78,0.67,1.19,2.01,1.66,1.74,1.76,1.6,1.63,1.64,1.4,2.65
e_0,0.66,1.14,1.04,0.99,0.78,0.56,1.61,1.45,1.89,2.17,1.96,1.92,2.32,2.81,3.57,2.6
g_0,0.92,0.71,0.91,1.4,0.78,0.63,1.52,0.98,1.76,2.18,1.93,2.57,1.98,2.15,1.65,1.78
