,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,12188.68,3766.69,3757.94,6048.14,7338.92,27758.87,3914453.84,15723013.8,6254921.29,10169030.07,22275129.51,34786516.35,98119085.72,90368966.0,129219650.59,191480635.33
f_1,6383.9,15287.61,3851.78,3089.88,5816.97,25215.02,3353266.46,7492941.76,6507769.49,13354937.53,10573990.97,26348517.9,104698194.31,80310396.34,155565793.65,168964047.59
d_1,2602.56,4255.08,19147.72,3411.42,7986.21,28426.73,3728404.34,4100742.58,7838334.31,22459306.29,20968210.96,31105976.32,95324605.5,127663119.71,118715372.71,211717076.89
c_1,2336.77,3278.57,3993.59,19071.97,16161.57,29697.58,3913719.92,8168011.6,5950436.75,4180599.22,22579640.02,18711343.02,105714786.05,120895711.39,100196736.93,210235989.12
b_1,2731.95,3303.18,4662.69,4512.16,37995.26,65011.37,3437097.68,8018424.66,6126959.34,10311012.31,21028474.95,14333326.55,105434482.79,132395768.01,92388469.54,216561280.58
a_1,2824.94,4923.95,4852.74,4658.54,6656.78,212395.69,3107690.62,8544019.04,7252788.11,7833853.33,20408151.54,26157440.86,130593960.71,152341690.05,92177573.99,191073566.29
h_1,3185.83,6496.35,6070.39,5497.04,8533.05,30842.36,10725681.51,8475073.06,12765596.18,13408096.57,24217276.71,33669892.96,78566136.28,152261555.68,183369877.01,364600504.69
d_0,3258.99,4067.64,3368.84,10327.37,9942.03,35053.45,4761887.85,17743759.46,8739260.51,9399160.14,26899903.53,38050585.88,117928310.91,157400580.07,200240338.08,265876591.98
g_1,3212.91,4105.32,8285.47,5602.0,9003.4,38518.94,4175157.32,7434263.14,25119909.4,13436046.62,41032443.11,28475535.28,112236580.89,153276020.03,157990956.23,168564724.48
c_0,4314.98,4905.76,6812.48,3379.57,5852.15,38092.47,4752874.4,11369981.72,8130928.38,27711121.08,26914859.36,68316467.51,125779099.47,148873952.85,234085372.35,305922894.81
f_0,2830.94,3083.88,5964.61,6889.96,10570.93,40450.57,4622839.38,10442220.7,10094086.55,13986955.79,53885764.55,34540829.27,122757563.04,329513015.94,176226823.63,271337682.73
b_0,3775.4,6192.84,5156.93,6465.89,4373.87,21085.14,5077516.48,11016166.14,10456884.9,13728983.01,24025393.98,77492994.67,126191446.82,186055847.59,415857895.88,275554701.65
h_0,3561.75,6212.23,5767.92,5381.76,8166.39,39888.76,3484191.29,10891348.47,11785780.69,13754407.05,24290710.09,33409149.68,91878731.6,152063480.5,153172059.96,324610314.44
e_0,2498.79,5318.99,5097.67,6069.84,7895.17,34856.34,5604358.76,10115050.23,11110654.13,14854759.62,24737057.76,37928016.43,181568012.57,445231851.63,237579641.94,309117125.2
a_0,4198.15,4491.06,5995.12,5947.11,8420.04,19520.38,5447668.53,10406639.66,11200015.96,16567238.61,24616322.82,39154346.24,113505950.46,136348193.88,410977473.48,260798432.47
g_0,3075.93,4049.7,9269.75,4818.24,9600.16,34098.83,4301968.42,8425043.11,6233801.35,16859947.56,42704929.83,31239724.38,121006567.5,163455066.22,203554274.73,191416401.64
