,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,1.72,1.46,1.65,1.84,1.66,0.32,0.32,0.44,0.34,0.38,1.1,0.17,0.38,0.34,0.33
e_1,0.89,0.17,1.87,1.95,1.96,1.69,0.6,0.27,0.72,0.33,0.31,0.35,0.24,0.34,0.3,1.73
d_1,1.74,2.05,0.16,1.86,1.55,1.47,0.45,2.1,0.27,0.3,0.35,0.29,0.23,0.36,0.16,0.3
c_1,1.71,1.28,2.36,0.15,1.43,1.59,0.43,0.2,0.62,1.19,0.37,0.37,0.23,0.34,0.18,0.41
b_1,1.91,1.9,1.62,0.88,0.13,2.14,0.57,0.46,0.55,0.48,1.38,0.29,0.21,0.32,0.25,0.33
a_1,1.97,2.1,1.42,1.54,0.96,0.09,0.53,0.44,0.47,0.4,0.4,0.39,0.35,1.29,0.22,0.38
h_1,1.07,0.84,1.0,1.1,1.01,0.78,0.07,0.17,0.27,0.19,0.18,0.15,0.51,0.22,0.18,0.13
d_0,0.98,0.45,2.95,1.12,1.09,0.9,0.26,0.07,0.34,0.2,0.16,0.16,0.2,0.16,0.16,0.21
g_1,1.03,0.96,1.02,0.87,0.88,0.92,0.23,0.24,0.05,0.21,0.19,0.2,0.11,0.16,0.32,0.18
c_0,1.54,0.85,0.45,3.82,1.08,0.95,0.27,0.21,0.28,0.07,0.15,0.15,0.15,0.18,0.15,0.22
b_0,0.96,0.93,0.79,1.19,3.53,0.73,0.29,0.27,0.2,0.08,0.06,0.16,0.12,0.16,0.12,0.11
f_0,2.2,0.89,0.85,0.74,0.94,0.96,0.34,0.19,0.15,0.15,0.15,0.06,0.13,0.15,0.09,0.18
h_0,1.15,0.99,0.72,0.72,1.01,0.84,0.57,0.2,0.29,0.2,0.18,0.19,0.44,0.18,0.13,0.2
a_0,0.91,0.83,1.25,0.85,1.21,2.59,0.27,0.2,0.27,0.13,0.08,0.13,0.14,0.05,0.13,0.19
g_0,0.96,0.87,0.9,1.0,0.92,1.14,0.2,0.17,0.72,0.19,0.17,0.17,0.09,0.18,0.29,0.25
e_0,0.75,2.24,0.89,0.84,0.86,0.96,0.25,0.19,0.3,0.18,0.15,0.1,0.17,0.21,0.15,0.04
