,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.93,0.68,0.33,0.38,0.32,0.19,0.33,0.39,0.31,0.28,0.31,0.19,0.36,0.23,0.16,0.24
e_1,0.51,0.92,0.33,0.43,0.35,0.25,0.37,0.61,0.3,0.27,0.35,0.27,0.4,0.22,0.19,0.27
d_1,0.47,0.43,0.92,0.31,0.32,0.23,0.36,0.29,0.66,0.3,0.39,0.31,0.37,0.28,0.24,0.32
c_1,0.43,0.38,0.36,0.91,0.62,0.27,0.32,0.32,0.24,0.22,0.22,0.27,0.34,0.21,0.22,0.27
b_1,0.41,0.4,0.37,0.42,0.91,0.44,0.36,0.36,0.31,0.27,0.26,0.29,0.37,0.17,0.21,0.31
a_1,0.48,0.42,0.45,0.39,0.33,0.89,0.4,0.36,0.35,0.32,0.3,0.28,0.37,0.18,0.22,0.28
h_1,0.62,0.44,0.45,0.44,0.32,0.2,0.65,0.37,0.33,0.39,0.34,0.28,0.28,0.29,0.23,0.35
d_0,0.5,0.39,0.28,0.68,0.42,0.25,0.39,0.53,0.26,0.32,0.3,0.31,0.4,0.25,0.22,0.28
c_0,0.52,0.51,0.43,0.41,0.29,0.26,0.4,0.37,0.56,0.31,0.63,0.28,0.41,0.37,0.25,0.34
g_1,0.46,0.43,0.61,0.42,0.36,0.22,0.37,0.34,0.37,0.63,0.35,0.44,0.4,0.22,0.23,0.25
b_0,0.54,0.43,0.45,0.46,0.26,0.26,0.39,0.41,0.38,0.32,0.56,0.26,0.44,0.49,0.22,0.28
f_0,0.41,0.33,0.49,0.43,0.4,0.28,0.48,0.34,0.43,0.34,0.39,0.54,0.41,0.32,0.5,0.36
h_0,0.59,0.46,0.43,0.4,0.36,0.28,0.3,0.36,0.32,0.39,0.36,0.3,0.31,0.21,0.21,0.36
a_0,0.53,0.46,0.43,0.42,0.37,0.18,0.41,0.36,0.37,0.36,0.41,0.29,0.46,0.46,0.2,0.32
e_0,0.53,0.34,0.45,0.44,0.42,0.29,0.42,0.31,0.39,0.33,0.37,0.24,0.45,0.29,0.43,0.38
g_0,0.46,0.36,0.64,0.39,0.33,0.27,0.41,0.3,0.41,0.26,0.39,0.45,0.37,0.27,0.3,0.3
