,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.95,0.51,0.49,0.67,0.46,0.35,0.37,0.32,0.53,0.31,0.35,0.33,0.33,0.21,0.32,0.24
f_1,0.83,0.95,0.5,0.5,0.4,0.34,0.31,0.31,0.35,0.34,0.24,0.31,0.28,0.18,0.25,0.21
d_1,0.6,0.64,0.95,0.49,0.42,0.36,0.39,0.28,0.28,0.53,0.33,0.35,0.35,0.26,0.26,0.22
c_1,0.51,0.64,0.55,0.95,0.79,0.41,0.38,0.31,0.3,0.24,0.3,0.24,0.33,0.22,0.26,0.23
b_1,0.59,0.61,0.62,0.46,0.94,0.7,0.45,0.36,0.34,0.38,0.33,0.23,0.33,0.31,0.29,0.21
a_1,0.69,0.73,0.74,0.58,0.44,0.94,0.45,0.39,0.39,0.4,0.37,0.36,0.41,0.26,0.32,0.2
h_1,0.87,1.1,0.82,0.78,0.58,0.55,0.79,0.63,0.51,0.53,0.43,0.45,0.42,0.39,0.45,0.3
g_1,0.92,0.88,1.15,0.82,0.57,0.6,0.54,0.78,0.52,0.57,0.66,0.5,0.39,0.4,0.41,0.37
d_0,0.83,0.99,0.68,1.38,0.84,0.6,0.56,0.49,0.7,0.38,0.52,0.46,0.5,0.4,0.47,0.35
c_0,0.99,0.97,0.9,0.77,0.59,0.64,0.58,0.53,0.64,0.72,0.55,0.84,0.5,0.42,0.41,0.48
f_0,0.83,0.9,0.9,1.03,0.85,0.61,0.66,0.45,0.61,0.57,0.71,0.57,0.54,0.7,0.45,0.37
b_0,0.94,0.97,0.99,1.03,0.72,0.53,0.62,0.57,0.63,0.51,0.56,0.72,0.58,0.47,0.43,0.73
h_0,0.99,1.21,1.04,0.94,0.78,0.64,0.52,0.69,0.63,0.59,0.53,0.55,0.49,0.4,0.63,0.41
e_0,0.8,1.37,0.99,1.08,0.8,0.74,0.73,0.64,0.53,0.59,0.5,0.57,0.62,0.67,0.46,0.39
g_0,0.93,1.03,1.37,1.01,0.87,0.71,0.7,0.48,0.58,0.67,0.8,0.58,0.53,0.57,0.49,0.43
a_0,1.0,1.18,1.21,1.04,0.93,0.57,0.76,0.58,0.68,0.5,0.63,0.48,0.59,0.49,0.52,0.66
