,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,25.72,0.36,0.27,0.26,0.37,0.34,0.67,0.76,1.72,0.92,0.19,0.92,0.89,0.63,0.89,1.02
f_1,0.3,25.56,0.69,0.29,0.33,0.42,0.73,0.55,0.69,0.85,0.7,0.12,0.63,0.8,0.68,0.78
e_1,0.28,0.34,25.83,0.44,0.39,0.34,0.73,0.67,0.67,0.66,1.85,0.75,0.86,0.65,0.14,0.59
c_1,0.36,0.28,0.37,28.99,0.6,0.24,0.71,0.8,0.15,0.59,0.98,0.98,0.77,0.84,0.76,0.91
b_1,0.29,0.42,0.31,0.28,31.8,0.8,0.72,0.57,0.78,0.11,0.53,0.68,0.79,0.88,0.68,0.87
a_1,0.34,0.38,0.39,0.32,0.2,42.61,0.82,0.63,0.8,1.04,0.84,0.64,1.28,0.18,1.01,0.78
h_1,0.79,0.91,0.43,0.72,0.62,0.46,9.82,1.75,1.34,1.48,0.85,1.3,0.46,1.38,1.56,2.22
g_1,1.32,0.46,0.46,0.68,0.58,0.52,1.18,11.4,1.1,1.3,0.9,2.28,1.82,1.29,1.33,0.66
c_0,0.76,0.72,0.61,0.23,0.57,0.73,1.4,1.56,5.92,4.08,1.44,2.22,2.09,1.82,1.75,1.85
b_0,0.73,0.79,0.64,0.81,0.2,0.49,1.46,1.39,1.54,5.73,1.66,1.84,1.81,3.46,1.61,1.53
d_0,0.17,0.6,0.65,1.94,0.52,0.46,1.24,1.45,1.18,1.36,5.0,1.5,1.77,1.69,1.48,1.09
f_0,0.74,0.36,0.53,0.81,0.93,0.54,1.19,1.47,1.23,1.61,1.32,6.45,1.91,1.32,4.14,1.74
h_0,0.89,0.76,0.53,0.65,0.62,0.46,0.61,1.78,1.38,1.8,1.48,1.82,0.67,1.38,1.99,1.94
a_0,0.76,0.74,0.5,0.75,0.58,0.17,1.78,1.49,1.63,1.64,1.84,2.14,2.22,8.74,1.46,2.61
e_0,0.84,0.69,0.1,0.91,0.62,0.63,1.39,1.91,1.41,1.89,1.16,1.59,1.97,2.35,9.2,1.88
g_0,1.12,0.48,0.44,0.59,0.77,0.61,1.47,0.57,1.4,1.54,1.51,2.75,1.45,1.17,1.58,0.78
