,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,15.49,12.31,10.98,16.22,9.29,1.98,5.22,2.59,2.45,2.7,,1.21,3.37,1.85,3.68
e_1,6.37,0.17,13.0,16.11,15.19,10.7,3.18,3.11,3.51,2.5,2.71,3.24,2.05,3.16,2.08,
c_1,13.54,12.37,0.16,13.43,12.11,13.15,4.08,3.13,1.5,,3.9,2.53,1.38,2.1,2.33,2.54
d_1,16.12,15.59,18.26,0.16,14.77,17.9,3.11,2.2,,2.46,1.91,2.59,1.61,2.08,1.09,2.17
b_1,16.84,11.39,5.54,13.19,0.13,14.18,3.3,4.9,2.68,3.18,,3.96,1.82,3.82,1.8,2.05
a_1,11.89,11.13,11.95,13.19,5.6,0.09,3.92,3.55,3.1,4.12,,,2.65,,,
h_1,3.15,3.02,3.17,3.02,3.08,3.13,0.07,1.1,0.59,0.85,0.59,0.7,,0.54,0.45,0.91
g_1,2.88,3.95,3.59,3.42,4.13,3.32,0.89,0.06,0.81,0.76,0.52,0.74,0.33,0.96,,0.62
d_0,2.52,1.3,2.46,,2.22,2.4,0.69,0.78,0.09,0.52,0.59,0.45,0.45,0.6,0.66,0.34
c_0,2.74,2.08,,1.29,2.38,2.66,0.73,0.79,0.5,0.08,0.49,0.47,0.33,0.65,0.47,0.65
b_0,2.99,3.57,3.71,3.37,,,0.77,0.6,0.65,0.24,0.07,0.57,0.25,0.46,0.24,0.47
f_0,,2.51,2.23,4.12,4.25,,0.73,0.45,0.45,0.45,0.63,0.06,0.55,0.46,0.21,0.39
h_0,1.7,2.47,1.5,1.47,1.48,1.38,,0.43,0.26,0.36,0.39,0.24,,0.47,0.24,0.34
a_0,2.78,3.33,3.78,2.57,3.82,,0.79,0.67,0.45,0.51,0.37,0.54,0.28,0.05,0.32,
g_0,2.05,2.26,2.33,1.42,1.42,,0.38,,0.34,0.27,0.36,0.31,0.21,0.29,,0.27
e_0,2.87,,2.68,3.95,2.64,,0.84,0.84,0.57,0.41,0.35,0.28,0.36,,0.27,0.04
