,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.95,0.41,0.39,0.52,0.42,0.34,0.32,0.45,0.28,0.29,0.25,0.27,0.25,0.23,0.23,0.15
f_1,0.79,0.95,0.43,0.42,0.36,0.24,0.24,0.31,0.22,0.26,0.24,0.16,0.23,0.18,0.22,0.11
d_1,0.49,0.52,0.94,0.4,0.4,0.29,0.33,0.25,0.22,0.43,0.31,0.27,0.27,0.2,0.21,0.18
c_1,0.43,0.48,0.47,0.94,0.65,0.3,0.32,0.26,0.24,0.16,0.2,0.21,0.27,0.18,0.22,0.2
b_1,0.46,0.48,0.5,0.4,0.94,0.54,0.31,0.3,0.25,0.29,0.17,0.29,0.25,0.16,0.21,0.22
a_1,0.49,0.59,0.58,0.58,0.41,0.94,0.35,0.36,0.3,0.35,0.36,0.33,0.31,0.19,0.25,0.21
h_1,0.69,0.98,0.75,0.65,0.58,0.45,0.76,0.52,0.5,0.43,0.33,0.38,0.33,0.32,0.55,0.32
d_0,0.71,0.72,0.52,1.26,0.73,0.52,0.46,0.68,0.41,0.33,0.42,0.41,0.48,0.29,0.37,0.29
g_1,0.7,0.7,1.11,0.78,0.69,0.41,0.46,0.44,0.75,0.44,0.43,0.62,0.41,0.34,0.32,0.36
c_0,0.8,0.87,0.68,0.8,0.65,0.52,0.51,0.61,0.47,0.66,0.75,0.45,0.51,0.41,0.43,0.34
b_0,0.95,0.91,0.75,0.91,0.6,0.33,0.65,0.51,0.49,0.41,0.68,0.5,0.54,0.65,0.37,0.28
f_0,0.7,0.64,0.9,0.91,0.74,0.54,0.57,0.55,0.43,0.45,0.43,0.67,0.5,0.35,0.42,0.65
h_0,0.92,1.1,0.77,0.92,0.87,0.44,0.47,0.52,0.61,0.45,0.48,0.45,0.39,0.36,0.48,0.37
a_0,0.86,1.03,1.01,0.91,0.78,0.34,0.65,0.63,0.52,0.5,0.42,0.52,0.62,0.64,0.57,0.37
g_0,0.83,0.82,1.29,0.89,0.85,0.58,0.46,0.49,0.41,0.56,0.52,0.65,0.48,0.32,0.42,0.42
e_0,0.71,1.26,1.08,0.92,0.75,0.55,0.62,0.6,0.53,0.56,0.59,0.43,0.57,0.42,0.48,0.62
