,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,0.78,1.07,1.0,0.86,0.7,0.71,0.98,0.64,0.72,0.7,0.7,0.63,0.68,0.61
d_1,1.13,1.0,1.11,0.88,0.92,0.76,0.82,0.57,0.67,0.85,0.67,0.6,0.49,0.65,0.53,0.49
f_1,1.28,0.89,1.0,0.95,0.95,0.87,0.52,0.67,0.57,0.61,0.6,0.67,0.51,0.64,0.48,0.61
c_1,0.93,1.14,1.05,1.0,1.36,0.74,0.68,0.69,0.49,0.55,0.51,0.52,0.59,0.54,0.55,0.48
b_1,0.99,1.09,1.05,0.74,1.0,1.38,0.92,0.77,0.72,0.73,0.59,0.65,0.6,0.49,0.59,0.59
a_1,1.17,1.32,1.14,1.36,0.72,1.0,0.74,1.01,0.8,0.79,0.89,0.8,0.87,0.61,0.76,0.75
h_1,1.39,1.31,1.92,1.44,1.11,1.29,1.0,1.07,0.95,0.88,0.95,0.86,0.87,0.74,0.7,0.9
g_1,1.35,1.77,1.51,1.43,1.34,1.01,0.94,1.0,0.85,1.02,0.95,1.11,0.75,0.7,0.92,0.91
d_0,0.99,1.65,1.58,2.09,1.48,1.15,1.03,1.24,1.0,0.94,1.05,0.97,0.93,0.85,0.9,0.82
c_0,1.48,1.17,1.49,1.82,1.42,1.44,1.14,1.03,1.09,1.0,1.4,1.08,0.99,0.94,0.91,0.79
b_0,1.33,1.44,1.63,2.03,1.7,1.22,1.05,1.12,0.96,0.66,1.0,1.0,0.88,1.13,0.84,0.76
f_0,1.45,1.62,1.53,1.84,1.48,1.19,1.22,0.89,1.11,0.94,1.01,1.0,1.08,0.79,1.27,0.67
h_0,1.49,1.95,1.95,1.74,1.68,1.16,1.17,1.33,1.07,1.0,1.07,0.89,1.0,0.93,0.86,1.05
a_0,1.58,1.5,1.7,1.86,2.12,1.6,1.37,1.5,1.13,0.99,0.91,1.23,1.15,1.0,1.01,0.91
e_0,1.47,2.0,2.14,1.84,1.71,1.28,1.42,1.05,1.18,1.13,1.21,0.76,1.15,1.03,1.0,1.0
g_0,1.72,2.1,1.76,1.91,1.67,1.39,1.09,1.13,1.21,1.2,1.31,1.46,0.93,1.06,0.95,1.0
