,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.3,0.63,0.69,0.46,0.55,0.43,1.07,2.17,1.01,0.74,1.0,1.26,1.08,1.42,0.51,1.35
f_1,1.07,2.33,0.47,0.5,0.46,0.47,0.88,1.17,1.12,0.72,1.1,0.49,0.92,1.16,0.76,1.27
c_1,0.47,0.58,2.41,0.61,0.95,0.38,0.88,0.98,0.5,0.83,0.81,1.05,0.78,1.35,0.86,1.13
d_1,0.56,0.64,0.42,2.44,0.55,0.4,1.14,0.56,2.13,1.07,1.46,1.04,1.16,1.55,1.1,1.19
b_1,0.57,0.56,0.72,0.57,2.48,0.71,1.02,1.09,1.05,0.75,0.45,0.92,0.68,1.37,0.87,1.25
a_1,0.6,0.58,0.62,0.61,0.53,3.11,1.16,1.25,1.05,0.9,1.13,1.01,0.79,1.39,1.06,1.73
h_1,0.62,1.03,0.59,0.77,0.66,0.48,3.17,1.27,1.4,1.46,1.44,1.28,1.27,1.03,1.26,1.83
d_0,0.69,0.78,1.31,0.47,0.71,0.42,1.09,2.76,1.17,1.05,1.0,1.22,1.26,1.75,0.98,1.32
c_0,0.71,0.81,0.44,0.82,0.5,0.5,1.36,1.39,2.76,1.31,2.84,1.65,1.65,1.82,0.97,1.55
g_1,0.67,0.55,0.73,1.09,0.62,0.45,1.08,0.97,1.43,3.6,1.31,2.21,1.29,1.72,1.5,0.78
b_0,0.64,0.75,0.7,0.76,0.43,0.58,1.38,1.46,1.8,1.25,3.05,1.54,2.61,1.57,1.22,1.69
f_0,0.56,0.53,0.78,0.71,0.72,0.56,1.41,1.59,1.54,1.17,1.71,3.2,1.45,2.31,2.32,1.47
a_0,0.72,0.79,0.78,0.76,0.56,0.37,1.36,1.61,1.79,0.95,1.46,1.24,3.05,1.66,1.33,1.33
h_0,0.7,0.97,0.67,0.78,0.64,0.47,0.66,1.43,1.6,1.58,1.44,1.21,1.09,1.45,1.25,2.09
e_0,0.46,0.81,0.62,0.84,0.72,0.45,1.49,1.47,1.83,1.43,1.57,1.35,1.37,2.12,3.16,1.82
g_0,0.62,0.68,0.65,1.23,0.64,0.53,1.18,1.12,1.66,0.74,1.18,2.12,1.17,1.72,1.17,1.19
