,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.94,0.38,0.4,0.5,0.34,0.27,0.3,0.25,0.43,0.28,0.26,0.21,0.24,0.26,0.11,0.17
f_1,0.69,0.94,0.38,0.4,0.31,0.25,0.23,0.22,0.25,0.24,0.24,0.12,0.17,0.19,0.13,0.18
d_1,0.42,0.49,0.94,0.34,0.35,0.26,0.31,0.24,0.21,0.43,0.3,0.24,0.22,0.24,0.2,0.2
c_1,0.41,0.41,0.47,0.94,0.64,0.24,0.29,0.25,0.23,0.14,0.19,0.19,0.21,0.21,0.18,0.18
b_1,0.48,0.54,0.45,0.33,0.94,0.46,0.28,0.31,0.27,0.2,0.15,0.25,0.16,0.3,0.19,0.22
a_1,0.49,0.56,0.48,0.48,0.38,0.93,0.37,0.35,0.28,0.32,0.33,0.25,0.25,0.33,0.24,0.25
h_1,0.6,0.93,0.65,0.66,0.57,0.36,0.75,0.49,0.37,0.38,0.39,0.36,0.31,0.28,0.29,0.39
g_1,0.73,0.62,0.93,0.72,0.53,0.31,0.44,0.75,0.46,0.41,0.39,0.5,0.35,0.45,0.29,0.22
d_0,0.67,0.71,0.49,1.11,0.62,0.46,0.5,0.4,0.65,0.36,0.4,0.35,0.34,0.4,0.33,0.31
c_0,0.76,0.76,0.65,0.66,0.59,0.42,0.5,0.43,0.54,0.66,0.74,0.45,0.42,0.51,0.33,0.33
b_0,0.84,0.82,0.67,0.75,0.49,0.36,0.5,0.42,0.5,0.4,0.68,0.42,0.64,0.47,0.32,0.32
f_0,0.7,0.63,0.77,0.8,0.58,0.68,0.46,0.39,0.61,0.52,0.43,0.66,0.42,0.57,0.61,0.33
a_0,0.83,0.92,0.8,0.71,0.82,0.28,0.56,0.44,0.48,0.48,0.44,0.47,0.6,0.47,0.45,0.41
h_0,0.8,1.15,0.82,0.82,0.64,0.44,0.4,0.47,0.47,0.43,0.44,0.34,0.34,0.33,0.39,0.46
e_0,0.76,1.04,0.78,0.88,0.67,0.54,0.65,0.52,0.5,0.48,0.5,0.36,0.36,0.43,0.62,0.42
g_0,0.79,0.91,1.26,0.85,0.6,0.43,0.49,0.44,0.49,0.59,0.5,0.65,0.36,0.44,0.4,0.32
