,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.36,1.09,1.24,1.7,3.38,12.2,27.99,26.9,24.29,42.05,48.36,60.83,88.61,113.87,98.68
e_1,0.73,1.0,1.05,1.57,1.76,3.32,17.43,37.22,33.69,30.4,41.92,54.43,71.42,82.51,109.84,115.71
d_1,0.92,0.96,1.0,0.92,1.42,3.31,12.98,28.27,19.78,34.41,39.63,43.49,69.0,66.4,71.11,85.6
c_1,0.81,0.64,1.07,1.0,1.73,2.89,10.78,15.81,26.25,17.59,29.61,41.8,64.59,68.23,66.42,83.21
b_1,0.59,0.56,0.7,0.59,1.0,3.23,9.32,17.19,19.91,20.46,24.2,28.1,40.58,40.68,61.82,63.26
a_1,0.3,0.3,0.3,0.34,0.31,1.0,4.85,8.54,8.38,8.52,14.48,14.29,23.14,23.95,23.39,26.39
h_1,0.08,0.06,0.07,0.09,0.11,0.2,1.0,1.84,2.41,1.95,2.44,2.81,4.85,4.91,8.14,5.42
d_0,0.03,0.02,0.04,0.07,0.06,0.12,0.54,1.0,1.1,0.96,1.36,1.82,2.9,2.57,3.87,3.8
g_1,0.04,0.03,0.05,0.04,0.05,0.12,0.43,0.96,1.0,1.03,1.43,2.07,1.98,2.31,3.26,3.16
c_0,0.04,0.03,0.03,0.05,0.04,0.12,0.51,1.06,0.92,1.0,2.03,1.57,2.54,3.26,3.64,3.44
b_0,0.02,0.02,0.03,0.03,0.04,0.06,0.42,0.75,0.68,0.51,1.0,1.18,1.72,2.69,2.33,2.09
f_0,0.02,0.02,0.02,0.02,0.04,0.07,0.36,0.58,0.48,0.59,0.89,1.0,1.61,1.54,1.49,2.87
h_0,0.02,0.01,0.02,0.02,0.02,0.05,0.21,0.35,0.51,0.38,0.59,0.63,1.0,0.99,1.53,1.12
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.39,0.4,0.31,0.38,0.64,1.03,1.0,1.12,1.25
g_0,0.01,0.01,0.01,0.02,0.02,0.04,0.12,0.26,0.3,0.28,0.44,0.65,0.66,0.82,1.0,1.08
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.18,0.27,0.31,0.28,0.43,0.36,0.89,0.88,0.92,1.0
