,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.9,2.36,2.87,1.96,2.05,2.01,7.46,17.48,8.41,9.9,11.73,12.12,15.19,12.92,7.4,14.12
f_1,3.84,6.15,2.24,2.17,1.85,1.73,7.24,10.82,7.59,10.98,10.78,6.67,14.15,10.47,7.19,14.7
c_1,1.86,2.29,6.5,2.01,4.27,2.13,7.42,9.72,7.29,4.51,6.66,10.23,14.95,9.86,10.88,15.62
d_1,2.21,2.45,1.64,6.65,2.06,2.16,8.72,6.67,10.05,19.46,13.61,11.59,16.27,13.45,12.07,15.87
b_1,1.81,2.27,2.21,2.11,7.63,4.96,8.51,8.8,7.74,9.89,6.16,9.74,17.81,8.42,12.19,16.14
a_1,2.1,2.7,2.58,2.16,2.06,10.77,9.55,9.52,6.59,9.49,11.57,10.87,16.72,6.84,13.47,15.54
h_1,2.08,3.49,2.69,2.58,2.41,2.09,18.85,9.74,10.92,8.84,10.94,10.31,14.7,11.87,14.59,22.4
d_0,2.28,2.39,4.54,1.32,2.76,2.37,10.06,18.34,8.23,7.67,10.06,11.17,16.35,10.37,12.19,14.87
g_1,2.38,2.0,2.19,4.3,2.06,1.76,9.76,8.4,22.27,12.44,12.18,17.03,14.29,11.88,14.11,14.1
c_0,2.89,2.61,1.97,2.76,1.59,2.24,9.7,11.0,10.29,19.29,20.7,11.85,18.09,15.05,12.84,18.9
b_0,2.43,2.44,2.91,2.92,1.8,1.68,9.0,11.09,9.14,12.28,20.34,11.64,18.06,25.13,15.18,19.46
f_0,2.04,2.03,2.86,2.55,2.51,2.55,10.97,11.38,10.45,13.3,13.3,22.98,18.16,13.9,26.53,19.16
h_0,2.24,3.39,2.46,3.02,1.89,2.03,7.79,9.52,11.91,12.46,11.66,12.55,14.08,12.58,13.83,24.85
a_0,2.67,2.46,2.54,2.78,2.57,1.35,9.19,11.97,9.19,12.72,10.76,12.62,16.77,25.29,13.93,18.37
e_0,1.86,2.87,2.96,2.43,2.37,2.5,11.56,10.06,9.86,11.62,11.3,13.5,21.98,12.1,27.42,20.33
g_0,1.98,2.61,2.25,3.85,2.3,2.36,8.1,8.88,7.63,12.23,12.1,18.11,22.65,12.74,15.16,15.64
