,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.54,1.11,0.97,0.81,0.93,0.82,1.21,1.05,1.04,1.74,1.33,1.18,1.28,1.16,1.12,1.08
f_1,0.95,1.55,1.44,0.96,0.89,0.75,1.06,1.1,1.27,1.12,1.08,0.88,1.21,0.92,1.2,0.71
e_1,0.97,0.97,1.54,1.13,0.98,0.85,1.19,1.14,1.78,1.19,1.24,1.13,1.18,1.03,1.15,0.86
c_1,1.11,0.97,0.94,1.61,1.51,0.81,1.17,1.15,1.02,0.87,0.86,1.26,1.33,1.01,1.2,0.98
b_1,1.06,1.1,1.05,0.91,1.63,1.41,1.15,1.04,1.18,1.24,1.06,1.15,1.24,1.02,1.28,1.04
a_1,1.2,1.1,1.07,1.14,0.88,1.78,1.46,1.26,1.36,1.31,1.4,1.18,1.55,1.1,1.35,1.22
h_1,1.34,1.57,1.27,1.22,1.11,0.86,1.87,1.7,1.29,1.39,1.26,1.18,1.39,1.25,1.58,1.19
g_1,1.65,1.25,1.17,1.2,1.18,0.93,1.27,1.92,1.35,1.61,1.44,1.8,1.51,1.28,1.22,1.48
d_0,1.16,1.34,1.14,1.95,1.27,0.91,1.51,1.4,1.81,1.27,1.49,1.28,1.67,1.14,1.44,1.36
c_0,1.3,1.54,1.28,1.24,1.04,1.03,1.7,1.41,1.63,1.84,2.31,1.43,1.78,1.61,1.58,1.58
b_0,1.46,1.48,1.26,1.42,0.98,0.92,1.6,1.46,1.42,1.31,1.87,1.44,1.61,2.03,1.66,1.22
f_0,1.4,1.38,1.21,1.24,1.25,1.23,1.62,1.3,1.56,1.64,1.61,1.91,1.63,1.46,1.43,2.41
h_0,1.5,1.72,1.45,1.25,1.22,0.98,1.26,1.68,1.46,1.5,1.69,1.48,1.59,1.34,1.88,1.2
a_0,1.43,1.7,1.36,1.48,1.33,0.77,1.69,1.61,1.76,1.57,1.53,1.47,1.86,1.94,1.64,1.3
g_0,1.8,1.37,1.32,1.34,1.3,1.15,1.5,1.33,1.45,1.66,1.73,2.06,1.6,1.52,1.56,1.65
e_0,1.5,1.72,1.45,1.34,1.39,1.24,1.68,1.52,1.38,1.36,1.69,1.25,1.91,1.52,1.45,1.9
