,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.44,1.11,2.29,2.11,2.06,2.17,0.69,0.59,0.41,0.43,0.41,0.52,0.42,0.31,0.73,0.38
f_1,1.97,0.44,1.85,2.3,1.73,1.91,0.37,0.84,0.44,0.41,0.4,0.98,0.37,0.2,0.37,0.27
d_1,2.28,2.32,0.42,1.97,2.07,2.11,0.55,0.36,0.96,0.4,0.46,0.37,0.42,0.29,0.43,0.17
c_1,1.59,2.24,2.67,0.41,2.36,2.25,0.66,0.54,0.25,0.84,0.47,0.41,0.43,0.28,0.36,0.3
b_1,2.57,2.74,2.46,1.18,0.39,2.15,0.78,0.75,0.49,0.61,1.24,0.66,0.39,0.4,0.55,0.44
a_1,2.82,3.05,2.97,3.34,1.43,0.32,0.98,1.13,0.61,0.6,0.75,0.42,2.28,0.44,0.5,0.69
h_1,3.34,3.51,2.94,3.29,3.38,3.04,0.33,0.9,0.69,0.74,0.7,0.8,0.61,0.95,0.56,0.55
g_1,3.69,4.98,3.24,3.51,3.16,3.09,0.76,0.31,0.86,0.78,0.88,0.76,0.77,0.54,0.67,0.85
d_0,1.91,4.1,6.08,4.18,4.26,4.96,1.18,1.04,0.4,0.8,0.8,0.6,0.77,0.57,0.77,0.61
c_0,3.65,3.97,1.81,9.24,6.26,3.72,1.18,1.15,1.17,0.37,0.71,0.67,0.74,0.61,0.78,0.46
b_0,3.94,3.9,2.81,5.26,9.09,3.43,1.06,1.14,0.82,0.37,0.34,0.7,0.67,0.61,0.74,0.56
f_0,4.34,11.34,3.52,5.1,4.46,4.19,1.19,0.77,0.94,0.73,0.74,0.33,0.7,0.75,0.78,0.35
a_0,3.86,5.39,4.42,4.41,6.69,5.73,1.22,1.15,0.94,0.72,0.49,0.76,0.38,0.68,0.98,0.73
h_0,4.07,5.3,4.57,4.57,3.91,3.52,2.33,1.12,0.97,0.81,0.89,0.77,0.84,1.23,0.91,0.67
e_0,10.49,7.29,4.39,5.08,5.16,4.25,1.29,1.5,1.11,0.92,1.08,0.43,0.7,0.54,0.33,0.58
g_0,6.78,5.89,4.2,6.05,5.16,4.61,1.1,2.74,1.17,1.05,1.18,0.95,0.83,0.54,0.86,1.13
