,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.5,0.47,0.42,0.46,0.35,0.35,0.55,0.48,0.94,0.61,0.6,0.56,0.49,0.59,0.51,0.37
f_1,0.69,1.5,0.51,0.45,0.36,0.38,0.54,0.54,0.51,0.46,0.58,0.28,0.48,0.44,0.6,0.3
d_1,0.49,0.49,1.53,0.41,0.45,0.4,0.6,0.46,0.23,0.91,0.62,0.47,0.48,0.63,0.46,0.35
c_1,0.49,0.53,0.45,1.54,0.73,0.27,0.52,0.48,0.45,0.21,0.41,0.52,0.46,0.68,0.54,0.5
b_1,0.57,0.57,0.51,0.39,1.61,0.59,0.47,0.47,0.54,0.47,0.16,0.68,0.46,0.61,0.45,0.4
a_1,0.47,0.47,0.53,0.62,0.4,1.78,0.72,0.54,0.64,0.67,0.57,0.48,0.26,0.74,0.53,0.66
h_1,0.73,0.92,0.66,0.78,0.73,0.38,1.67,0.92,0.85,0.83,0.93,0.87,0.67,0.65,1.05,0.83
g_1,0.73,0.52,1.04,0.87,0.68,0.61,0.87,1.72,0.73,0.86,0.75,1.16,0.64,0.68,0.56,0.76
d_0,0.61,0.79,0.57,1.36,0.67,0.55,0.87,0.95,1.52,0.78,0.86,0.95,0.6,0.97,0.87,0.79
c_0,0.77,0.96,0.76,0.55,0.63,0.66,0.81,0.89,0.89,1.52,1.4,1.11,0.89,1.03,1.0,0.67
b_0,0.72,0.86,0.67,0.85,0.49,0.73,0.86,1.03,0.97,0.78,1.58,1.03,1.3,1.12,1.04,0.73
f_0,0.68,0.49,0.89,0.9,0.54,0.68,1.09,0.94,1.02,0.8,0.96,1.56,0.94,1.28,0.81,1.45
a_0,0.73,0.89,1.01,0.86,0.68,,1.12,1.04,1.14,0.87,0.93,0.89,1.68,0.77,1.05,0.99
h_0,0.68,1.2,0.86,0.77,0.74,0.62,0.53,1.13,0.85,0.92,0.82,0.65,1.02,0.63,1.19,0.69
g_0,0.87,0.68,1.17,0.72,0.84,0.68,0.73,0.8,1.04,0.96,0.84,1.44,0.86,1.07,0.69,0.79
e_0,0.31,1.17,0.89,0.9,0.99,0.61,0.9,0.99,1.12,1.06,1.03,0.78,0.65,1.21,0.96,1.67
