,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.71,1.04,0.66,0.61,0.54,0.42,0.79,0.85,0.84,0.89,0.81,0.35,1.07,0.96,0.91,0.67
e_1,0.69,2.77,0.55,0.7,0.55,0.6,0.83,1.78,0.9,0.85,1.1,1.09,1.0,0.81,1.08,0.61
d_1,0.78,0.58,2.99,0.43,0.58,0.54,0.89,0.28,0.92,1.87,1.07,0.97,0.97,1.25,0.92,1.02
c_1,0.59,0.55,0.61,3.08,1.15,0.52,0.82,0.74,0.83,0.28,0.69,1.12,0.84,0.98,0.88,0.88
b_1,0.57,0.55,0.55,0.7,3.4,1.28,0.86,0.97,0.81,0.8,0.36,0.85,0.74,0.64,0.93,0.87
a_1,0.67,0.63,0.65,0.66,0.47,5.11,1.3,1.0,0.96,0.81,1.19,0.81,1.15,0.44,0.81,1.02
h_1,0.98,0.71,0.86,0.81,0.63,0.59,3.08,0.86,1.45,0.89,1.08,0.95,0.63,0.86,1.55,1.21
d_0,0.68,0.63,0.3,1.53,0.82,0.8,1.26,2.38,0.85,0.82,1.11,1.2,1.02,0.87,1.32,1.68
g_1,0.65,0.7,1.28,0.59,0.69,0.46,1.02,0.99,3.8,1.26,1.05,1.87,1.3,1.29,0.55,1.13
c_0,0.82,0.81,0.8,0.52,0.6,0.84,1.1,1.04,1.13,2.46,2.33,1.5,1.42,1.17,1.31,1.28
b_0,0.8,0.82,0.94,0.82,0.37,0.57,1.15,1.07,1.06,1.22,2.54,1.06,1.49,2.37,1.18,1.35
f_0,0.39,0.55,0.95,0.96,0.81,0.75,1.22,1.28,1.21,1.25,1.39,2.86,1.34,1.51,1.12,3.09
h_0,1.06,0.75,0.93,0.72,0.72,0.66,0.61,1.11,1.44,1.1,1.29,1.09,0.67,1.15,1.57,1.12
a_0,0.65,0.87,0.89,0.82,0.8,0.43,1.27,0.99,1.07,1.01,1.23,1.29,1.23,3.32,1.66,1.0
g_0,0.71,0.6,1.25,0.87,0.64,0.66,1.16,1.02,0.62,1.0,1.31,1.86,1.03,1.21,0.78,1.25
e_0,0.74,0.37,0.73,1.0,0.87,0.79,1.08,1.24,1.13,1.16,1.58,1.41,1.74,0.99,1.43,3.8
