,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,9753.15,5062.79,2524.63,5578.99,5352.52,33588.43,2744413.94,5583174.66,9246051.34,13460284.08,6323356.5,17350293.44,108919579.8,47656315.49,98524017.25,239092470.66
e_1,2418.07,12016.42,2546.5,6967.4,4703.26,40023.37,3000516.7,6533671.69,8663753.46,30767575.58,21101202.64,21977714.13,114890789.44,46325611.05,101541914.67,291537203.74
d_1,2308.65,2217.84,12902.73,4700.76,7421.62,44499.38,2911282.92,5680498.42,21381231.87,5492096.62,19430095.76,19232835.9,104996927.4,97665083.66,97073489.49,277583991.18
c_1,2254.05,2414.55,2518.61,30907.47,11280.39,41583.1,2685725.75,5902299.51,3379683.53,15087234.82,15699956.97,14875709.23,105133047.87,73243880.41,88036286.81,253818136.36
b_1,2560.33,2165.58,3293.53,4652.39,34558.57,74013.21,2752939.38,5945392.13,8781390.83,14917959.94,18868013.05,7828218.18,105826901.83,79320376.67,78787915.23,235724116.11
a_1,2633.15,1887.81,2931.8,6248.47,5634.63,382974.96,3472873.44,5337486.16,12876826.26,14253554.62,14446026.2,18480501.98,112782046.71,118305590.5,53022677.27,287195439.31
h_1,3628.32,2847.34,3336.57,7560.7,7044.66,48117.5,9775990.06,8455407.61,10746734.44,16200401.82,22266243.88,19958157.62,76518170.36,78243157.77,142747213.74,497611902.84
g_1,2202.72,2631.85,5363.58,6454.72,7114.51,45669.08,3440710.63,24801560.77,9805014.51,14230276.49,35847811.25,22261654.48,125979756.72,92086581.66,123338954.07,223013502.0
c_0,2907.06,3614.94,3633.39,4062.95,5669.84,47584.76,3449433.59,8121023.5,26437728.99,20318745.72,23839780.81,43647833.99,145533318.32,122666928.67,178157709.1,413735456.21
d_0,2990.45,3160.99,1934.45,14248.28,6807.16,40625.62,3815066.28,6941464.89,7615235.66,39851149.26,18664298.6,20973283.99,146922733.43,112207745.18,116324799.01,350766269.71
f_0,1412.0,2407.24,4290.45,8372.14,8366.96,50184.3,3583578.23,8072208.6,13918870.56,21334683.01,49666210.03,24634440.17,173365237.59,234430130.34,151434052.73,388844054.78
b_0,2767.52,3402.53,3328.79,7774.13,4016.14,45690.18,4175905.21,8298532.21,12218855.84,21842651.65,24435775.33,46884902.27,173365237.59,114489133.42,313311833.24,377407464.93
h_0,3644.21,3683.87,3641.55,8231.43,5278.57,39736.58,2080766.28,10059751.45,13863401.33,19665109.6,21363774.17,21363774.17,74227303.78,89895616.84,144753138.64,404485273.24
e_0,3597.41,1599.03,3841.77,6240.79,7378.9,58350.12,4527283.1,7983877.95,13274690.99,16177142.09,14600368.27,22484567.14,189345984.21,328550115.47,161182406.67,375424739.55
a_0,3051.27,2429.47,4072.43,6830.57,7542.18,21966.62,4251391.73,8733463.68,15744199.7,16465421.58,24531700.57,24531700.57,154239026.52,126227182.53,389573090.81,482509423.86
g_0,2039.56,2841.88,5565.11,7882.1,6526.23,50038.66,3154963.84,5176104.69,15155513.22,16508980.9,34076538.55,25467728.81,154336530.0,125506440.9,141425480.28,199610850.56
