,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.86,1.28,0.99,0.89,0.77,0.63,0.69,0.68,0.59,0.6,0.56,0.5,0.62,0.57,0.46
d_1,1.15,1.0,1.08,0.89,0.96,0.72,0.7,0.57,0.63,0.82,0.61,0.67,0.6,0.48,0.55,0.52
e_1,0.79,0.91,1.0,1.13,0.97,0.94,0.76,0.72,0.92,0.67,0.72,0.72,0.65,0.59,0.62,0.7
c_1,1.0,1.17,0.87,1.0,1.32,0.72,0.67,0.63,0.47,0.54,0.63,0.51,0.64,0.59,0.55,0.54
b_1,1.12,1.04,1.01,0.77,1.0,1.42,0.82,0.73,0.66,0.7,0.65,0.66,0.59,0.66,0.49,0.6
a_1,1.3,1.36,1.06,1.36,0.72,1.0,0.85,0.84,0.84,0.72,0.78,0.82,0.74,0.69,0.64,0.7
h_1,1.64,1.42,1.3,1.49,1.24,1.14,1.0,1.09,0.9,0.83,0.82,0.87,0.86,0.91,0.7,0.8
g_1,1.45,1.79,1.4,1.57,1.37,1.18,0.89,1.0,0.89,0.95,1.06,1.04,0.78,0.76,0.76,0.86
d_0,1.47,1.6,1.12,2.05,1.57,1.2,1.09,1.14,1.0,0.77,0.91,0.89,0.89,0.91,0.9,0.88
c_0,1.73,1.24,1.48,1.79,1.41,1.35,1.2,1.09,1.31,1.0,1.02,1.33,0.96,0.92,1.02,0.98
f_0,1.59,1.63,1.41,1.64,1.47,1.3,1.16,0.97,1.14,0.98,1.0,1.0,0.96,0.72,0.89,1.24
b_0,1.82,1.57,1.41,1.87,1.53,1.2,1.14,1.01,1.06,0.73,1.0,1.0,1.06,0.91,1.32,0.9
h_0,2.03,1.65,1.56,1.59,1.66,1.34,1.23,1.26,1.09,0.99,1.03,0.97,1.0,1.14,0.9,0.85
g_0,1.57,2.09,1.67,1.76,1.49,1.4,1.11,1.29,1.04,1.13,1.35,1.08,0.86,1.0,1.0,0.97
a_0,1.68,1.93,1.66,1.87,1.88,1.56,1.37,1.3,1.11,0.98,1.16,0.77,1.14,1.04,1.0,0.91
e_0,2.18,1.85,1.32,1.88,1.69,1.45,1.3,1.17,1.15,0.99,0.85,1.15,1.18,1.05,1.14,1.0
