,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.23,1.07,1.54,2.19,3.93,16.73,29.28,32.21,34.98,35.99,40.65,62.51,69.48,124.2,98.89
e_1,0.81,1.0,1.2,1.68,1.86,3.74,21.13,35.54,34.31,48.04,43.16,55.18,84.66,114.45,126.2,124.49
d_1,0.93,0.84,1.0,1.09,1.68,3.0,17.03,22.45,37.08,30.65,34.42,39.96,68.62,73.07,81.47,103.02
c_1,0.65,0.59,0.91,1.0,2.23,2.9,12.76,21.64,18.5,16.66,24.23,34.18,57.52,62.02,80.66,84.46
b_1,0.46,0.53,0.59,0.45,1.0,2.79,7.88,15.12,14.23,13.87,16.01,18.82,37.38,35.94,63.9,52.89
a_1,0.25,0.27,0.33,0.35,0.35,1.0,4.9,7.03,7.54,7.3,12.4,11.06,21.84,27.2,31.38,30.68
h_1,0.06,0.05,0.06,0.08,0.12,0.2,1.0,2.06,1.56,1.84,2.01,2.46,4.37,4.04,7.71,6.8
g_1,0.03,0.03,0.05,0.05,0.07,0.13,0.48,1.0,1.08,0.96,1.31,1.62,2.26,2.79,3.64,4.57
c_0,0.03,0.03,0.03,0.05,0.07,0.13,0.64,0.98,1.0,0.92,1.66,1.45,2.37,2.71,3.91,3.84
d_0,0.03,0.02,0.03,0.07,0.07,0.14,0.57,1.03,1.02,1.0,1.15,1.5,2.22,2.18,3.91,3.74
b_0,0.03,0.02,0.03,0.04,0.07,0.08,0.48,0.8,0.57,0.91,1.0,1.17,2.03,3.79,3.22,3.08
f_0,0.03,0.02,0.03,0.03,0.06,0.09,0.42,0.62,0.7,0.66,0.87,1.0,1.77,1.87,2.06,3.85
h_0,0.02,0.01,0.01,0.02,0.03,0.05,0.25,0.44,0.42,0.45,0.47,0.57,1.0,1.12,1.9,1.32
a_0,0.01,0.01,0.01,0.02,0.03,0.04,0.24,0.35,0.37,0.45,0.28,0.55,0.87,1.0,1.5,1.6
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.28,0.24,0.26,0.32,0.49,0.53,0.67,1.0,0.92
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.22,0.24,0.26,0.33,0.25,0.72,0.65,1.2,1.0
