,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.43,1.19,0.91,1.34,1.05,1.12,2.22,3.69,2.16,2.2,2.62,2.57,2.99,2.85,2.44,3.48
f_1,1.6,2.44,1.04,1.21,1.04,1.13,1.64,2.43,2.23,2.3,2.34,1.33,2.63,2.11,2.03,2.78
d_1,1.14,1.29,2.55,0.87,1.26,1.07,2.23,1.77,2.07,4.11,2.85,2.45,3.53,2.41,2.95,2.68
c_1,0.99,1.01,1.35,2.55,1.59,0.97,2.28,2.04,2.2,1.51,2.07,2.82,3.36,2.52,2.58,2.64
b_1,1.11,1.06,1.22,1.02,2.74,1.78,2.16,2.38,1.94,2.31,1.52,2.43,2.59,2.31,2.6,3.34
a_1,1.08,1.13,1.31,1.23,1.0,3.27,2.28,2.83,2.44,2.42,2.96,2.67,3.39,1.9,2.3,3.1
h_1,1.27,1.76,1.35,1.13,1.02,1.15,4.01,2.58,2.7,2.42,2.93,2.7,2.45,2.8,2.35,3.81
d_0,1.18,1.24,0.76,2.05,1.14,1.25,2.51,3.79,2.31,2.24,2.7,2.78,3.31,2.25,2.54,3.67
g_1,1.09,1.1,1.59,1.28,1.46,1.13,2.28,2.63,4.43,2.39,2.63,4.01,3.11,2.85,2.49,2.57
c_0,1.35,1.4,1.18,1.07,1.08,1.16,2.65,2.81,2.54,4.12,4.44,3.13,3.24,3.15,2.97,3.42
b_0,1.27,1.48,1.24,1.41,0.86,1.08,2.47,2.8,2.47,2.31,4.08,2.66,3.66,4.72,2.84,3.57
f_0,1.16,0.96,1.49,1.23,1.31,1.04,3.01,2.41,2.18,2.55,3.41,4.36,3.28,3.3,5.35,3.11
h_0,1.03,1.65,1.2,1.17,1.39,1.18,1.94,2.63,2.88,2.9,2.99,3.08,2.67,2.57,2.71,4.22
a_0,1.13,1.42,1.55,1.24,1.01,1.01,2.81,2.82,2.8,2.72,2.5,2.72,3.98,4.97,3.14,3.57
e_0,0.76,1.57,1.21,1.35,1.18,1.4,3.33,2.85,2.53,2.6,3.01,2.17,3.94,3.16,4.95,3.77
g_0,1.05,1.06,1.84,1.44,1.19,1.25,2.46,2.33,1.39,2.72,3.05,4.2,2.88,2.58,2.75,2.81
