,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.41,0.34,0.48,0.38,0.25,0.27,0.48,0.24,0.24,0.26,0.24,0.26,0.24,0.14,0.2
f_1,0.69,0.94,0.37,0.36,0.34,0.26,0.24,0.27,0.22,0.27,0.22,0.17,0.19,0.16,0.14,0.2
d_1,0.47,0.59,0.94,0.33,0.29,0.27,0.31,0.2,0.2,0.39,0.28,0.23,0.24,0.18,0.2,0.19
c_1,0.4,0.43,0.37,0.94,0.68,0.25,0.27,0.25,0.23,0.13,0.23,0.23,0.24,0.17,0.18,0.2
b_1,0.41,0.41,0.5,0.36,0.94,0.58,0.28,0.26,0.26,0.28,0.16,0.27,0.24,0.19,0.18,0.21
a_1,0.54,0.53,0.55,0.52,0.28,0.94,0.36,0.31,0.31,0.26,0.3,0.28,0.33,0.14,0.25,0.26
h_1,0.7,0.92,0.69,0.6,0.55,0.38,0.74,0.46,0.44,0.36,0.39,0.32,0.27,0.26,0.26,0.45
d_0,0.53,0.68,0.49,1.13,0.72,0.45,0.41,0.67,0.38,0.29,0.38,0.37,0.46,0.32,0.29,0.39
g_1,0.62,0.69,1.02,0.52,0.61,0.49,0.43,0.39,0.75,0.44,0.35,0.54,0.36,0.33,0.32,0.25
c_0,0.74,0.87,0.72,0.59,0.46,0.51,0.57,0.6,0.4,0.65,0.66,0.44,0.42,0.4,0.33,0.44
b_0,0.78,0.86,0.78,0.72,0.39,0.45,0.53,0.54,0.42,0.39,0.66,0.38,0.5,0.52,0.38,0.43
f_0,0.71,0.55,0.77,0.69,0.75,0.6,0.54,0.59,0.41,0.42,0.42,0.66,0.48,0.34,0.59,0.34
h_0,0.89,1.12,0.79,0.77,0.75,0.5,0.36,0.51,0.53,0.45,0.38,0.34,0.34,0.3,0.33,0.49
a_0,0.79,0.93,0.85,0.78,0.7,0.4,0.65,0.6,0.39,0.44,0.47,0.46,0.57,0.62,0.36,0.39
e_0,0.46,1.09,0.82,0.83,0.89,0.52,0.55,0.59,0.46,0.53,0.41,0.39,0.57,0.36,0.6,0.49
g_0,0.81,0.77,1.2,0.83,0.7,0.56,0.46,0.46,0.39,0.47,0.47,0.57,0.43,0.42,0.36,0.31
