,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.72,0.83,1.1,1.0,0.66,0.47,0.58,0.43,0.37,0.43,0.43,0.28,0.31,0.41,0.32
f_1,1.38,1.0,1.04,0.9,0.83,0.58,0.37,0.38,0.46,0.41,0.33,0.33,0.36,0.28,0.27,0.31
d_1,1.2,0.97,1.0,0.94,0.79,0.78,0.56,0.43,0.36,0.58,0.45,0.34,0.36,0.38,0.34,0.26
c_1,0.91,1.12,1.06,1.0,1.21,0.8,0.54,0.33,0.42,0.35,0.38,0.35,0.34,0.38,0.35,0.36
b_1,1.0,1.2,1.27,0.82,1.0,1.11,0.57,0.53,0.56,0.49,0.28,0.46,0.36,0.43,0.37,0.26
a_1,1.51,1.73,1.28,1.25,0.9,1.0,0.74,0.52,0.71,0.61,0.65,0.57,0.37,0.43,0.4,0.43
h_1,2.11,2.75,1.77,1.79,1.76,1.28,1.0,0.77,0.87,0.69,0.66,0.64,0.66,0.59,0.61,0.71
d_0,1.75,2.62,2.14,3.13,2.0,1.96,1.3,1.0,1.04,0.81,0.92,0.79,0.86,0.84,0.69,0.83
g_1,2.33,2.24,2.8,2.5,1.73,1.42,1.14,0.94,1.0,1.0,0.83,1.04,0.81,0.73,0.75,0.83
c_0,2.64,2.57,1.79,2.71,1.9,1.59,1.49,1.19,1.04,1.0,1.44,1.01,0.86,0.89,0.83,0.92
b_0,2.3,3.17,2.33,2.57,,1.61,1.53,1.04,1.16,0.71,1.0,1.03,1.41,0.87,0.7,0.78
f_0,2.12,3.04,3.08,3.03,2.17,1.7,1.51,1.24,1.01,1.07,0.94,1.0,1.06,0.9,1.28,0.73
a_0,3.33,2.84,2.76,2.78,2.94,,1.49,1.18,1.25,1.18,0.66,0.99,1.0,1.01,0.9,0.85
h_0,3.1,3.48,2.73,2.69,2.32,2.14,1.65,1.25,1.34,1.1,1.13,1.02,1.02,1.0,0.85,1.19
e_0,2.69,3.75,2.79,2.78,2.6,2.54,1.59,1.48,1.41,1.29,1.47,0.8,1.02,1.26,1.0,1.11
g_0,3.05,3.49,3.86,2.67,3.57,2.33,1.46,1.17,1.23,1.12,1.29,1.38,1.15,0.85,0.94,1.0
