,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.82,0.98,1.17,1.03,0.99,1.05,1.03,1.31,0.94,1.01,1.11,1.04,1.08,1.01,1.07
f_1,1.2,1.0,0.94,1.03,0.93,0.85,0.92,1.01,0.98,0.93,0.99,0.96,0.8,0.98,0.97,0.84
d_1,1.02,1.09,1.0,0.89,0.98,0.95,1.02,0.89,0.99,1.26,1.1,1.05,1.03,0.82,1.07,0.99
c_1,0.86,0.96,1.12,1.0,1.25,1.0,0.95,1.06,0.78,0.9,0.81,0.93,1.07,0.98,0.91,0.92
b_1,0.96,1.07,1.02,0.81,1.0,1.3,1.05,1.0,0.96,1.12,0.96,0.98,1.08,1.05,0.86,1.09
a_1,1.02,1.17,1.01,0.97,0.78,1.0,1.11,1.09,1.07,0.94,1.03,0.92,1.1,1.16,1.03,1.01
h_1,0.96,1.09,0.98,1.04,0.97,0.89,1.0,1.11,0.93,0.9,0.97,1.04,0.96,1.16,1.03,1.0
g_1,0.98,0.99,1.13,0.97,0.99,0.97,0.9,1.0,0.86,1.0,1.03,1.17,0.92,1.02,1.1,1.12
d_0,0.78,0.97,1.06,1.28,1.03,0.96,1.06,1.11,1.0,0.86,1.07,1.01,1.08,1.09,0.98,1.13
c_0,1.04,1.08,0.82,1.09,0.86,1.01,1.12,0.99,1.15,1.0,1.48,0.98,1.06,1.08,1.14,1.06
b_0,1.03,1.01,0.9,1.21,1.08,0.91,1.03,1.0,0.96,0.73,1.0,0.97,1.05,1.04,1.33,1.02
f_0,0.88,1.02,0.97,1.08,1.02,1.09,0.94,0.84,1.02,0.99,1.06,1.0,1.05,0.95,1.1,1.35
h_0,1.03,1.21,0.98,0.94,0.91,0.9,1.03,1.11,0.92,0.95,0.91,0.95,1.0,1.08,0.91,0.96
g_0,0.97,1.02,1.18,1.0,0.93,0.87,0.87,0.96,0.92,0.92,0.91,1.09,0.95,1.0,1.02,0.95
a_0,1.04,1.02,0.92,1.06,1.11,1.03,0.98,0.9,1.01,0.91,0.76,0.89,1.09,0.99,1.0,0.96
e_0,0.92,1.08,0.98,1.12,0.96,0.92,1.0,0.89,0.93,0.95,1.01,0.79,1.03,0.97,1.06,1.0
