,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.44,0.28,0.27,0.25,0.31,0.27,0.51,0.48,1.07,0.52,,0.7,0.77,0.53,0.59,0.64
f_1,0.28,2.46,0.46,0.22,0.27,0.3,0.54,0.49,0.61,0.71,0.62,,0.54,0.52,0.54,0.81
e_1,0.24,0.23,2.46,0.25,0.32,0.29,0.58,0.52,0.57,0.53,1.11,0.54,0.77,0.5,,0.67
c_1,0.28,0.29,0.34,2.59,0.36,0.18,0.56,0.52,,0.48,0.7,0.65,0.73,0.62,0.54,0.92
b_1,0.23,0.35,0.27,0.23,2.74,0.6,0.58,0.42,0.72,,0.54,0.48,0.83,0.74,,0.59
a_1,0.25,0.32,0.27,0.34,0.16,3.12,0.64,0.41,0.59,0.72,0.67,0.53,1.08,,0.59,0.56
h_1,0.61,0.65,0.45,0.61,0.53,0.47,3.79,1.45,1.18,1.12,0.83,1.1,,1.03,1.07,1.99
g_1,0.74,0.51,0.44,0.54,0.65,0.51,0.78,4.08,1.03,1.13,1.2,1.4,1.79,1.17,0.95,
c_0,0.44,0.57,0.61,,0.47,0.65,1.18,1.39,3.44,2.21,1.14,1.71,1.77,1.52,1.29,1.66
b_0,0.76,0.57,0.59,0.67,,0.42,1.24,1.22,1.31,3.59,1.67,1.55,1.43,2.11,1.18,1.45
d_0,,0.65,0.6,1.02,0.57,0.51,1.4,1.1,1.23,1.11,3.51,1.54,1.88,1.53,1.43,1.56
f_0,0.58,,0.61,0.63,0.82,0.61,1.29,1.31,1.09,1.29,1.14,3.82,1.71,0.96,,1.47
h_0,0.84,0.84,0.73,0.78,0.71,0.62,,1.41,1.68,2.25,1.63,1.65,,1.39,1.9,2.36
a_0,0.58,0.68,0.5,0.56,0.5,,1.51,1.23,1.15,0.99,1.18,1.85,1.93,4.42,,2.66
e_0,0.62,0.6,,0.67,,0.64,1.2,1.56,1.35,1.25,1.2,,1.76,,4.58,1.75
g_0,1.06,0.7,0.61,0.59,0.9,0.76,1.31,,1.72,1.66,1.89,2.51,1.83,1.14,1.65,
