,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.92,0.33,0.4,0.5,0.36,0.25,0.37,0.29,0.62,0.34,0.37,0.31,0.32,0.23,0.18,0.25
d_1,0.39,0.92,0.45,0.32,0.33,0.26,0.38,0.33,0.27,0.6,0.41,0.34,0.32,0.28,0.23,0.29
f_1,0.65,0.35,0.91,0.36,0.31,0.23,0.3,0.3,0.37,0.36,0.34,0.25,0.37,0.24,0.18,0.29
c_1,0.4,0.41,0.42,0.91,0.61,0.21,0.34,0.3,0.32,0.25,0.22,0.23,0.33,0.22,0.19,0.26
b_1,0.39,0.4,0.42,0.36,0.9,0.47,0.39,0.34,0.37,0.34,0.21,0.29,0.34,0.17,0.18,0.26
a_1,0.38,0.45,0.43,0.4,0.35,0.89,0.33,0.38,0.37,0.4,0.39,0.34,0.35,0.2,0.22,0.27
h_1,0.4,0.46,0.57,0.41,0.33,0.27,0.65,0.46,0.37,0.37,0.38,0.32,0.32,0.24,0.23,0.35
g_1,0.39,0.63,0.41,0.4,0.35,0.24,0.33,0.65,0.31,0.43,0.37,0.47,0.37,0.26,0.26,0.23
d_0,0.41,0.35,0.44,0.71,0.4,0.22,0.36,0.38,0.54,0.28,0.36,0.32,0.38,0.24,0.23,0.27
c_0,0.42,0.46,0.45,0.33,0.31,0.28,0.41,0.39,0.39,0.56,0.67,0.41,0.39,0.33,0.28,0.29
b_0,0.37,0.47,0.47,0.43,0.33,0.27,0.39,0.39,0.39,0.38,0.57,0.43,0.39,0.48,0.27,0.32
f_0,0.36,0.49,0.41,0.46,0.36,0.25,0.45,0.42,0.44,0.38,0.36,0.55,0.41,0.28,0.51,0.29
h_0,0.41,0.49,0.61,0.41,0.39,0.21,0.29,0.41,0.37,0.37,0.37,0.3,0.3,0.28,0.24,0.38
a_0,0.44,0.41,0.48,0.44,0.41,0.17,0.42,0.41,0.39,0.38,0.43,0.39,0.41,0.47,0.25,0.31
e_0,0.37,0.52,0.5,0.45,0.38,0.2,0.42,0.36,0.4,0.4,0.39,0.33,0.44,0.29,0.47,0.33
g_0,0.38,0.58,0.46,0.42,0.37,0.25,0.4,0.3,0.36,0.41,0.38,0.47,0.43,0.29,0.31,0.28
