,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,0.94,1.05,0.92,0.81,0.85,1.02,0.88,0.99,0.97,0.85,0.86,0.94,0.8,1.09
e_1,0.8,1.0,0.97,1.23,1.01,1.01,1.0,1.1,0.91,1.31,1.1,1.16,1.08,1.02,1.0,1.11
d_1,1.05,0.99,1.0,0.9,1.01,0.91,1.04,0.89,1.22,1.01,1.02,1.0,1.0,1.13,1.01,0.91
c_1,0.96,0.82,1.11,1.0,1.34,0.98,1.05,1.02,0.95,0.72,0.8,1.02,0.94,0.97,0.97,0.94
b_1,1.08,0.98,1.0,0.75,1.0,1.49,1.07,0.99,1.1,0.97,0.95,1.03,1.03,0.89,1.19,0.94
a_1,1.19,0.99,1.09,1.01,0.71,1.0,1.08,1.06,1.1,1.1,1.21,1.02,1.22,0.94,1.09,0.92
h_1,1.16,1.03,0.99,0.94,0.96,0.89,1.0,1.07,0.94,0.98,0.95,0.94,1.01,0.91,0.92,1.19
g_1,1.02,0.9,1.12,0.97,1.02,0.91,0.93,1.0,1.02,0.85,1.09,1.19,0.95,1.03,0.99,0.97
c_0,1.13,1.06,0.81,1.05,0.88,0.93,1.05,0.96,1.0,1.29,1.28,0.95,1.06,1.11,1.05,1.06
d_0,0.99,0.8,1.0,1.35,1.03,0.92,1.04,1.22,0.77,1.0,1.0,1.0,1.07,0.98,1.01,1.09
b_0,1.05,0.88,0.94,1.22,1.05,0.88,1.06,0.9,0.79,0.95,1.0,0.9,1.1,1.34,1.06,1.02
f_0,1.21,0.89,1.0,1.01,0.9,1.0,1.11,0.82,1.07,0.99,1.08,1.0,1.03,1.03,1.38,0.9
h_0,1.15,0.95,1.0,1.07,0.92,0.8,0.98,1.06,0.97,0.93,0.9,0.94,1.0,0.95,1.01,1.13
a_0,1.03,0.93,0.91,1.02,1.09,1.01,1.09,0.98,0.89,1.0,0.76,0.97,1.03,1.0,0.98,1.14
e_0,1.25,0.97,1.01,1.0,0.86,0.9,1.11,1.06,0.98,0.98,0.93,0.73,0.96,1.05,1.0,0.91
g_0,0.91,0.92,1.09,1.07,1.04,1.1,0.87,1.03,0.99,0.89,1.01,1.14,0.9,0.88,1.03,1.0
