,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,15.09,1.16,0.58,0.54,0.49,0.4,0.75,0.84,0.82,0.88,0.84,0.36,1.04,0.96,0.87,0.63
e_1,0.62,15.64,0.49,0.67,0.52,0.56,0.83,2.16,0.91,0.85,1.07,1.12,1.03,0.84,1.08,0.62
d_1,0.72,0.51,17.76,0.38,0.53,0.53,0.88,0.33,0.95,2.3,1.1,0.96,0.99,1.24,0.92,1.06
c_1,0.52,0.47,0.56,18.02,1.31,0.51,0.8,0.71,0.8,0.3,0.61,1.1,0.83,0.94,0.89,0.84
b_1,0.51,0.48,0.5,0.63,19.01,1.5,0.9,0.95,0.8,0.76,0.38,0.85,0.7,0.59,0.9,0.94
a_1,0.59,0.58,0.59,0.64,0.42,30.49,1.41,0.96,0.97,0.76,1.16,0.75,1.13,0.51,0.78,0.98
h_1,1.1,0.66,0.91,0.8,0.62,0.56,5.0,0.81,1.55,0.87,1.2,0.99,0.71,0.91,1.75,1.14
d_0,0.62,0.55,0.3,2.38,0.92,0.85,1.25,3.07,0.85,0.72,1.2,1.26,0.97,0.84,1.5,1.69
g_1,0.72,0.64,1.66,0.55,0.64,0.55,0.97,0.92,6.17,1.48,1.11,2.61,1.46,1.32,0.7,1.16
c_0,0.82,0.87,0.82,0.48,0.5,0.75,1.02,1.07,1.18,3.29,3.62,1.5,1.62,1.41,1.31,1.28
b_0,0.78,0.76,1.03,0.84,0.37,0.56,1.25,1.06,1.06,1.33,3.19,1.14,1.58,2.91,1.18,1.54
f_0,0.41,0.5,0.93,0.89,0.85,0.71,1.22,1.42,1.26,1.3,1.66,3.78,1.48,1.53,1.14,3.94
h_0,1.22,0.75,0.91,0.66,0.68,0.6,0.6,1.01,1.51,1.14,1.3,1.03,0.62,1.21,1.65,1.19
a_0,0.65,0.81,1.02,0.83,0.77,0.53,1.41,1.02,1.14,0.93,1.19,1.22,1.17,3.94,1.67,0.94
g_0,0.6,0.54,1.55,0.96,0.6,0.62,1.24,1.09,0.68,1.08,1.38,2.39,0.99,1.13,0.83,1.37
e_0,0.72,0.31,0.76,1.0,0.92,0.86,1.19,1.19,1.11,1.1,1.68,1.54,2.0,1.18,1.48,4.95
