,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,2.28,3.05,3.12,4.48,3.09,1.94,1.78,1.68,2.0,1.44,1.79,1.58,2.03,,1.77
f_1,5.11,0.42,3.11,4.45,2.72,2.88,1.32,1.41,1.45,1.98,1.89,,1.15,1.62,1.65,1.97
d_1,4.53,4.32,0.4,2.83,4.37,3.81,2.0,,1.63,1.13,1.55,1.99,1.27,2.13,1.35,0.89
c_1,3.68,3.5,5.01,0.38,4.13,3.63,1.84,0.93,,2.03,1.79,1.35,1.61,1.34,1.98,1.35
b_1,3.2,5.44,2.96,2.19,0.36,5.61,1.81,1.59,1.81,2.54,,1.83,1.27,,1.3,0.99
a_1,4.55,4.64,3.47,3.83,1.98,0.31,2.52,1.78,1.19,1.99,1.41,,1.35,,1.92,
h_1,1.94,1.77,1.64,2.22,1.75,1.26,0.27,0.97,0.78,1.12,0.74,0.9,,0.59,1.03,0.73
d_0,1.1,1.65,,1.95,1.29,1.44,0.93,0.3,0.97,0.79,0.61,0.87,0.51,0.74,0.77,0.65
c_0,1.56,1.48,1.18,,1.67,2.69,0.98,0.69,0.29,0.96,0.83,0.61,0.59,0.65,0.59,0.61
g_1,2.08,2.4,2.1,1.93,1.46,2.36,0.74,0.92,0.76,0.24,0.87,0.89,0.59,0.71,0.7,
b_0,1.77,1.42,1.76,1.72,,1.69,0.82,0.84,0.5,0.91,0.28,0.62,0.66,,0.63,0.49
f_0,1.54,,1.48,1.56,1.83,,0.9,0.6,0.86,0.68,0.75,0.27,0.57,0.61,1.05,0.39
h_0,1.05,1.41,1.39,1.11,1.7,1.35,,0.6,0.53,0.7,0.57,0.66,,0.5,0.46,0.58
a_0,1.44,1.49,1.54,1.71,,,1.04,0.71,1.0,0.91,,0.87,0.6,0.22,,0.63
e_0,,1.74,2.18,1.82,1.6,1.06,0.84,0.94,0.84,0.78,0.84,0.37,0.6,,0.21,0.62
g_0,1.15,0.98,1.63,1.48,1.66,,0.53,0.71,0.59,,0.83,0.61,0.37,0.5,0.67,
