,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.04,1.4,1.41,1.64,2.53,17.24,30.59,31.25,31.3,40.95,47.24,62.8,95.05,83.51,108.81
d_1,0.98,1.0,1.06,0.99,1.34,2.7,17.67,24.88,22.31,38.94,37.43,44.5,64.91,83.47,103.9,88.15
e_1,0.72,0.93,1.0,1.43,1.42,2.58,16.84,35.26,27.76,27.19,37.9,56.66,63.83,81.89,115.83,113.12
c_1,0.72,1.03,0.7,1.0,1.7,2.61,13.04,14.73,20.41,21.31,24.54,34.47,52.4,66.08,76.34,89.23
b_1,0.6,0.73,0.68,0.6,1.0,2.46,12.9,16.51,18.45,21.9,22.71,30.19,43.88,50.14,64.37,76.73
a_1,0.38,0.37,0.38,0.39,0.42,1.0,6.9,9.46,10.67,10.07,13.5,16.0,25.61,29.84,35.99,34.3
h_1,0.06,0.05,0.06,0.08,0.08,0.15,1.0,1.43,1.69,1.49,2.02,2.46,3.66,4.28,5.28,7.28
d_0,0.03,0.04,0.03,0.06,0.06,0.11,0.7,1.0,1.03,0.86,1.35,1.81,2.5,3.1,3.98,4.13
g_1,0.03,0.04,0.03,0.05,0.06,0.09,0.6,0.9,1.0,1.11,1.36,1.86,2.16,3.38,3.65,4.34
c_0,0.03,0.03,0.04,0.05,0.04,0.1,0.65,1.15,0.93,1.0,1.76,1.65,2.28,3.07,3.57,3.53
b_0,0.02,0.03,0.03,0.04,0.04,0.07,0.5,0.71,0.75,0.6,1.0,1.29,1.96,3.19,3.26,2.99
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.39,0.54,0.53,0.59,0.77,1.0,1.41,1.7,3.06,1.92
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.27,0.39,0.47,0.42,0.53,0.68,1.0,1.21,1.42,1.87
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.24,0.31,0.3,0.33,0.34,0.58,0.83,1.0,1.2,1.32
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.25,0.27,0.28,0.32,0.33,0.74,0.87,1.0,0.94
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.24,0.23,0.28,0.34,0.48,0.53,0.73,1.07,1.0
