,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.17,1.07,0.97,0.86,0.94,1.07,,1.26,0.65,1.2,1.06,1.0,0.96,1.08,0.71
f_1,0.85,1.0,1.18,1.16,1.12,0.86,0.94,1.06,1.12,0.9,0.98,,1.03,0.77,0.75,1.06
e_1,0.94,0.85,1.0,0.95,0.98,0.87,1.05,1.33,0.86,1.25,1.05,0.92,1.05,0.95,,1.07
c_1,1.03,0.86,1.05,1.0,1.31,,0.99,0.8,,1.05,0.78,0.98,1.11,1.19,1.08,1.26
b_1,1.16,0.89,1.02,0.76,1.0,1.52,1.18,1.11,0.86,1.0,,1.02,1.04,0.96,0.97,0.79
a_1,1.07,1.16,1.15,,0.66,1.0,0.73,0.8,1.0,1.0,1.13,,0.98,,,0.94
h_1,0.93,1.07,0.95,1.01,0.85,1.36,1.0,1.1,0.93,1.12,0.83,0.98,,0.89,1.14,1.1
d_0,,0.95,0.75,1.25,0.9,1.24,0.91,1.0,0.97,0.94,1.22,0.97,1.04,1.11,0.82,1.15
c_0,0.8,0.89,1.16,,1.17,1.0,1.07,1.03,1.0,0.98,1.28,0.94,0.94,0.98,0.75,1.08
g_1,1.54,1.11,0.8,0.95,1.0,1.0,0.89,1.07,1.02,1.0,0.96,1.22,0.81,,0.97,
b_0,0.83,1.02,0.96,1.28,,0.89,1.21,0.82,0.78,1.04,1.0,1.04,1.09,1.11,,1.07
f_0,0.94,,1.09,1.02,0.98,,1.02,1.04,1.07,0.82,0.96,1.0,1.22,1.29,1.27,0.77
h_0,1.0,0.97,0.95,0.9,0.96,1.02,,0.96,1.06,1.23,0.92,0.82,,1.02,0.9,1.33
a_0,1.04,1.29,1.05,0.84,1.04,,1.12,0.9,1.02,,0.9,0.77,0.98,1.0,,1.09
e_0,0.93,1.33,,0.92,1.03,,0.87,1.22,1.33,1.04,,0.79,1.11,,1.0,0.84
g_0,1.4,0.95,0.94,0.79,1.27,1.06,0.91,0.87,0.93,,0.94,1.3,0.75,0.92,1.2,
