,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.08,1.98,2.29,2.08,2.23,1.95,0.51,0.46,0.64,0.41,0.41,0.57,0.26,0.43,0.39,0.38
e_1,1.5,1.09,2.39,2.2,2.42,2.36,0.67,0.54,0.82,0.48,0.43,0.68,0.34,0.65,0.45,0.39
c_1,2.39,2.13,1.09,3.4,2.44,2.26,0.74,0.34,0.74,0.64,0.54,0.48,0.32,0.45,0.47,0.34
d_1,3.17,3.37,2.63,1.09,2.67,2.4,0.78,0.88,0.49,0.57,0.62,0.53,0.42,0.53,0.68,0.28
b_1,3.32,3.22,1.88,3.5,1.11,2.94,0.9,0.65,0.79,0.95,0.81,0.63,0.42,0.51,0.59,0.41
a_1,4.64,4.8,3.73,4.99,2.17,1.12,1.33,1.13,1.3,0.97,1.29,0.81,0.69,0.79,1.06,0.61
h_1,8.79,8.72,9.27,7.96,9.63,7.52,1.51,1.9,2.49,1.74,1.78,1.83,1.58,1.53,1.73,1.19
d_0,9.89,7.12,12.55,16.27,12.25,9.86,3.5,1.78,3.94,2.48,2.21,2.17,1.7,2.82,2.09,1.74
g_1,12.36,10.62,12.31,12.2,13.06,10.26,2.77,2.51,1.6,2.29,2.36,2.27,1.39,2.38,1.89,1.71
c_0,14.69,13.24,19.75,7.72,12.82,13.22,3.65,4.1,3.32,1.9,2.98,2.82,1.97,2.47,2.76,1.8
b_0,14.75,13.48,19.98,11.41,19.27,11.96,4.39,3.57,4.3,1.68,1.94,2.87,1.89,2.77,2.7,1.94
f_0,19.82,14.41,16.94,15.35,13.9,13.13,3.98,3.5,3.01,2.88,3.03,1.89,2.05,2.79,2.74,1.28
h_0,20.68,18.71,22.86,19.34,18.38,15.44,7.45,4.14,5.69,4.09,3.93,3.83,3.92,3.55,3.42,2.89
e_0,24.88,24.74,21.95,20.12,20.25,16.71,5.4,4.29,5.11,4.55,4.39,2.39,2.73,2.13,4.11,2.27
a_0,20.46,20.43,24.01,20.26,27.66,24.07,6.65,4.35,6.0,3.46,2.51,4.72,3.43,4.07,2.15,2.92
g_0,29.28,25.41,25.67,23.45,21.83,18.55,5.88,5.88,7.88,5.35,4.88,4.47,2.73,4.02,4.83,3.66
