,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.96,0.59,0.56,0.71,0.54,0.39,0.42,0.38,0.58,0.36,0.36,0.31,0.32,0.37,0.23,0.28
f_1,0.9,0.96,0.57,0.6,0.5,0.36,0.37,0.34,0.41,0.36,0.38,0.24,0.29,0.31,0.22,0.26
d_1,0.65,0.7,0.96,0.53,0.54,0.4,0.43,0.37,0.35,0.58,0.45,0.33,0.33,0.38,0.28,0.29
c_1,0.61,0.66,0.63,0.96,0.84,0.43,0.44,0.38,0.34,0.27,0.29,0.32,0.31,0.34,0.27,0.27
b_1,0.68,0.71,0.68,0.54,0.95,0.7,0.46,0.4,0.39,0.36,0.3,0.36,0.26,0.39,0.28,0.33
a_1,0.83,0.82,0.74,0.68,0.52,0.94,0.56,0.48,0.45,0.49,0.45,0.36,0.36,0.46,0.36,0.37
h_1,0.95,1.16,1.0,0.91,0.78,0.5,0.81,0.65,0.54,0.54,0.53,0.47,0.45,0.46,0.4,0.51
g_1,0.92,0.9,1.22,0.93,0.8,0.57,0.6,0.81,0.63,0.6,0.55,0.63,0.48,0.59,0.43,0.37
d_0,0.91,0.95,0.89,1.38,0.97,0.64,0.67,0.59,0.74,0.48,0.53,0.5,0.49,0.59,0.44,0.47
c_0,1.07,1.08,0.89,0.97,0.85,0.59,0.68,0.6,0.71,0.76,0.93,0.56,0.65,0.64,0.44,0.48
b_0,1.08,1.1,0.93,1.11,0.79,0.55,0.69,0.61,0.68,0.52,0.76,0.54,0.81,0.64,0.45,0.48
f_0,0.99,1.1,1.12,1.06,0.88,0.75,0.68,0.61,0.76,0.71,0.61,0.74,0.62,0.71,0.78,0.51
a_0,1.23,1.28,1.08,1.02,0.95,0.61,0.73,0.64,0.64,0.62,0.61,0.54,0.69,0.69,0.54,0.5
h_0,1.13,1.41,1.1,1.07,0.89,0.66,0.63,0.64,0.65,0.63,0.66,0.49,0.48,0.56,0.53,0.54
e_0,1.14,1.36,1.14,1.08,1.04,0.73,0.8,0.7,0.69,0.64,0.66,0.49,0.56,0.64,0.67,0.54
g_0,1.14,1.24,1.51,1.11,0.94,0.67,0.75,0.66,0.64,0.75,0.67,0.78,0.57,0.65,0.58,0.51
