,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.32,0.99,1.43,1.74,3.47,17.1,24.39,31.05,32.83,38.77,51.39,66.73,86.69,76.9,174.17
e_1,0.76,1.0,1.02,1.51,2.04,3.66,20.12,27.76,42.16,36.6,52.02,55.08,90.31,97.73,107.22,169.46
d_1,1.01,0.98,1.0,1.23,1.64,3.39,18.34,20.92,31.71,42.82,37.54,41.71,84.23,77.69,97.27,122.55
c_1,0.7,0.66,0.8,1.0,1.84,2.5,13.34,18.12,14.39,15.34,29.78,25.78,56.06,62.16,62.83,106.0
b_1,0.57,0.49,0.6,0.55,1.0,2.96,12.31,13.99,16.97,17.34,20.51,25.13,50.77,35.5,47.42,77.55
a_1,0.29,0.28,0.29,0.4,0.34,1.0,5.12,6.15,6.36,10.51,11.99,13.52,24.57,21.96,22.72,40.32
h_1,0.06,0.05,0.06,0.07,0.08,0.19,1.0,1.46,1.55,1.49,1.88,2.29,3.97,4.33,3.91,9.17
g_1,0.04,0.04,0.05,0.06,0.07,0.15,0.7,1.0,1.07,1.41,2.07,1.75,2.47,4.07,3.96,5.15
d_0,0.03,0.02,0.03,0.07,0.06,0.16,0.67,0.96,1.0,0.99,1.6,1.37,2.78,3.21,2.27,5.84
c_0,0.03,0.03,0.02,0.06,0.05,0.1,0.67,0.72,1.0,1.0,1.13,1.94,2.62,3.05,2.87,4.37
f_0,0.02,0.02,0.03,0.04,0.05,0.09,0.53,0.48,0.62,0.86,1.0,0.92,2.16,2.02,3.02,3.42
b_0,0.02,0.02,0.02,0.04,0.04,0.07,0.43,0.54,0.7,0.52,1.05,1.0,1.94,3.09,1.77,3.56
h_0,0.02,0.01,0.01,0.02,0.02,0.04,0.26,0.42,0.35,0.38,0.47,0.53,1.0,0.99,0.88,2.37
a_0,0.01,0.01,0.01,0.02,0.03,0.04,0.23,0.25,0.31,0.32,0.51,0.35,0.99,1.0,1.12,1.98
e_0,0.01,0.01,0.01,0.01,0.02,0.05,0.26,0.24,0.43,0.35,0.34,0.55,1.18,0.95,1.0,1.44
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.19,0.17,0.23,0.3,0.29,0.43,0.53,0.68,1.0
