,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.71,1.14,0.87,0.92,0.77,0.58,0.56,0.37,0.34,0.36,0.44,0.33,0.36,0.35,0.32
f_1,1.41,1.0,0.85,0.92,0.82,0.81,0.39,0.42,0.44,0.41,0.38,0.33,0.31,0.27,0.28,0.32
c_1,0.87,1.18,1.0,1.23,1.19,0.63,0.47,0.33,0.39,0.41,0.35,0.41,0.31,0.34,0.35,0.32
d_1,1.15,1.09,0.81,1.0,0.93,0.77,0.55,0.5,0.51,0.38,0.45,0.43,0.38,0.39,0.33,0.23
b_1,1.09,1.21,0.84,1.07,1.0,1.05,0.53,0.47,0.47,0.45,0.32,0.38,0.35,0.35,0.31,0.35
a_1,1.29,1.24,1.58,1.3,0.95,1.0,0.8,0.67,0.57,0.6,0.55,0.48,0.5,0.47,0.51,0.53
h_1,1.69,2.63,2.13,1.85,1.85,1.24,1.0,0.98,0.91,1.26,0.87,0.8,0.67,0.92,0.62,0.7
d_0,1.68,2.42,3.4,1.95,2.19,1.36,1.02,1.0,0.99,1.13,0.9,0.8,0.7,0.79,0.64,0.73
c_0,2.52,2.4,2.87,1.89,2.22,1.58,1.06,1.02,1.0,1.21,1.28,0.9,0.76,0.78,0.62,0.6
g_1,2.84,2.41,2.4,2.53,2.24,1.59,0.8,0.94,0.87,1.0,0.85,0.99,0.77,0.68,0.64,0.85
b_0,2.58,2.6,2.88,2.26,3.01,1.84,1.14,1.16,0.79,1.16,1.0,0.83,1.34,0.84,0.69,0.79
f_0,2.17,3.23,2.56,2.5,2.62,1.98,1.35,1.27,1.1,1.0,1.14,1.0,1.02,1.1,1.18,0.67
a_0,3.13,3.29,3.13,2.84,2.86,2.05,1.57,1.49,1.28,1.23,0.77,0.99,1.0,1.05,1.0,0.82
h_0,2.73,3.79,2.83,2.6,2.86,2.2,1.06,1.22,1.3,1.47,1.15,0.95,0.89,1.0,0.85,1.2
e_0,2.79,3.72,2.93,2.95,3.0,2.03,1.57,1.52,1.56,1.5,1.58,0.87,1.19,1.12,1.0,1.16
g_0,2.93,3.0,3.31,4.19,2.8,1.82,1.48,1.32,1.57,,1.23,1.53,1.27,0.85,0.9,1.0
