,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,24.87,0.36,0.37,0.29,0.29,0.3,0.8,1.66,0.97,0.72,0.87,0.74,0.69,0.83,0.21,0.8
f_1,0.63,25.83,0.36,0.4,0.27,0.28,0.56,0.67,0.75,0.74,0.77,0.22,0.96,0.96,0.5,0.86
c_1,0.33,0.27,26.39,0.34,0.76,0.31,0.63,0.75,0.11,0.66,0.52,0.82,0.95,0.89,0.8,0.98
d_1,0.37,0.31,0.32,26.92,0.45,0.32,0.61,0.15,1.46,0.82,0.99,0.88,0.91,0.6,0.77,0.75
b_1,0.25,0.45,0.33,0.3,31.55,0.73,0.73,0.71,1.03,0.72,0.14,0.74,0.81,0.65,0.61,0.74
a_1,0.3,0.38,0.32,0.38,0.23,43.6,1.06,0.83,0.62,0.66,0.89,0.94,0.8,0.15,1.13,0.8
h_1,0.53,0.93,0.58,0.66,0.6,0.61,9.51,1.25,1.3,1.7,1.38,1.6,0.66,1.18,2.23,2.44
d_0,0.69,0.72,1.28,0.18,0.53,0.62,1.29,5.57,1.16,1.01,1.57,1.95,1.84,1.27,1.66,1.92
c_0,0.81,0.75,0.36,0.59,0.43,0.79,1.5,1.61,5.29,1.27,3.18,1.38,1.99,1.93,2.07,1.83
g_1,0.6,0.45,0.56,1.25,0.5,0.69,1.32,1.52,1.37,12.14,1.44,2.47,1.52,1.37,1.47,0.58
b_0,0.64,0.7,0.82,0.72,0.14,0.51,1.35,1.64,1.7,1.13,7.13,1.42,1.75,3.62,1.97,1.55
f_0,0.59,0.25,0.89,0.7,0.71,0.76,1.52,1.7,1.34,1.3,1.77,6.63,1.72,1.27,3.64,1.35
h_0,0.56,0.99,0.67,0.71,0.57,0.57,0.5,1.14,1.18,1.37,1.77,1.13,0.61,1.41,1.37,1.99
a_0,0.58,0.67,0.74,0.8,0.59,0.27,1.67,1.42,0.96,1.67,1.59,1.47,2.34,9.42,1.5,1.78
e_0,0.12,0.85,0.69,0.75,0.74,0.69,2.06,1.69,1.78,1.48,1.64,1.84,1.96,1.67,9.55,1.84
g_0,0.46,0.65,0.6,1.05,0.7,0.55,1.51,1.0,1.2,0.56,1.75,2.94,1.34,1.79,1.98,0.81
