,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.01,0.08,0.09,0.1,0.13,0.13,0.14,0.23,0.24,0.18,0.24,,0.3,0.17,0.37,0.34
e_1,0.06,0.01,0.1,0.07,0.11,0.13,0.2,0.21,0.25,0.19,0.24,0.29,0.36,0.29,0.29,
d_1,0.06,0.07,0.01,0.08,0.09,0.1,0.17,0.1,,0.22,0.22,0.28,0.27,0.29,0.19,0.4
c_1,0.05,0.08,0.06,0.01,0.09,0.13,0.11,0.15,0.08,,0.16,0.16,0.36,0.17,0.26,0.24
b_1,0.03,0.04,0.04,0.02,,0.09,0.1,0.1,0.1,0.09,,0.1,0.17,0.11,0.16,0.16
a_1,0.02,0.02,0.02,0.02,0.01,,0.05,0.06,0.04,0.05,0.04,0.04,,0.07,0.06,
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
