,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.93,0.18,0.09,0.1,0.08,0.06,0.06,0.07,0.08,0.06,,0.06,0.04,0.05,0.04,0.06
e_1,0.08,0.93,0.09,0.11,0.12,0.07,0.07,0.1,0.06,0.07,0.06,0.06,0.04,0.07,,0.05
d_1,0.11,0.14,0.93,0.1,0.08,0.07,0.06,,0.05,0.13,0.06,0.06,0.04,0.05,0.05,0.05
c_1,0.11,0.07,0.09,0.93,0.17,0.06,0.09,0.07,0.05,,0.06,0.05,0.05,0.06,0.05,0.06
b_1,0.14,0.08,0.11,0.08,0.93,0.13,0.07,0.08,0.06,0.06,0.08,,0.05,0.06,0.06,0.05
a_1,0.15,0.12,0.11,0.11,0.09,0.93,0.1,0.09,0.06,0.08,0.06,0.09,,0.05,0.05,0.05
h_1,0.34,0.33,0.31,0.25,0.28,0.16,0.71,0.19,0.18,0.18,0.12,0.15,0.12,,0.1,0.19
d_0,0.43,0.32,,0.5,0.24,0.18,0.28,0.57,0.19,0.26,0.22,0.15,0.17,0.2,0.19,0.16
g_1,0.2,0.3,0.48,0.28,0.23,0.24,0.21,0.2,0.71,0.16,0.18,0.23,0.14,0.18,0.11,
c_0,0.47,0.35,0.19,,0.29,0.17,0.29,0.17,0.24,0.57,0.24,0.33,0.2,0.24,0.13,0.18
f_0,,0.34,0.4,0.41,0.26,0.24,0.31,0.25,0.23,0.23,0.57,0.23,0.15,0.22,0.22,0.14
b_0,0.41,0.38,0.44,0.39,,0.17,0.31,0.27,0.14,0.19,0.18,0.58,0.33,0.17,0.14,0.16
a_0,0.5,0.57,0.45,0.28,0.35,,0.3,0.26,0.27,0.2,0.27,0.15,0.55,,,0.18
h_0,0.58,0.48,0.54,0.52,0.46,0.35,,0.3,0.33,0.29,0.27,0.27,,,0.24,0.27
e_0,0.51,,0.38,0.38,0.39,0.3,0.33,0.26,0.22,0.29,0.27,0.21,,0.21,0.57,
g_0,0.46,0.46,0.73,0.39,0.41,0.29,0.33,0.32,,0.25,0.45,0.33,0.23,0.31,,
