,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.87,0.75,1.16,0.9,0.63,0.56,0.6,0.46,0.43,0.41,0.43,0.35,0.36,0.4,0.35
d_1,1.15,1.0,1.05,0.88,0.85,0.68,0.48,0.49,0.37,0.53,0.41,0.41,0.32,0.31,0.31,0.29
f_1,1.32,0.94,1.0,0.93,0.86,0.67,0.4,0.44,0.49,0.38,0.41,0.37,0.34,0.35,0.27,0.29
c_1,0.86,1.12,1.08,1.0,1.39,0.7,0.54,0.35,0.45,0.38,0.33,0.38,0.31,0.31,0.34,0.36
b_1,1.11,1.18,1.15,0.72,1.0,1.35,0.57,0.5,0.58,0.54,0.42,0.44,0.45,0.31,0.38,0.34
a_1,1.61,1.46,1.5,1.4,0.74,1.0,0.71,0.56,0.66,0.65,0.62,0.51,0.47,0.53,0.43,0.45
h_1,1.79,2.12,2.53,1.85,1.74,1.35,1.0,0.82,1.0,0.81,0.81,0.65,0.67,0.64,0.57,0.67
d_0,1.67,2.04,2.19,3.02,2.06,1.82,1.28,1.0,1.06,0.73,0.92,0.78,0.82,0.77,0.63,0.73
g_1,2.28,2.73,1.92,2.24,1.76,1.45,1.03,0.93,1.0,0.91,0.87,1.11,0.59,0.65,0.7,0.75
c_0,2.27,1.85,2.61,2.5,1.79,1.57,1.28,1.39,1.1,1.0,1.34,0.93,0.95,0.8,0.75,0.7
b_0,2.58,2.32,2.54,3.04,2.49,1.58,1.23,1.08,1.14,0.77,1.0,0.92,1.02,1.22,0.75,0.79
f_0,2.44,2.53,2.77,2.52,2.22,1.84,1.45,1.26,0.92,1.12,1.0,1.0,0.84,0.94,1.25,0.71
h_0,2.76,3.01,3.11,3.18,2.3,1.97,1.51,1.24,1.65,1.09,0.96,1.1,1.0,0.88,0.78,1.09
a_0,2.83,3.27,2.76,3.05,3.66,1.75,1.5,1.3,1.67,1.2,0.8,1.17,1.16,1.0,0.92,0.84
e_0,2.58,3.23,3.89,3.11,2.75,1.9,1.82,1.54,1.39,1.33,1.29,0.8,1.3,1.1,1.0,1.08
g_0,2.79,3.58,3.19,2.88,2.65,2.12,1.45,1.38,1.36,1.49,1.34,1.43,0.9,1.15,0.94,1.02
