,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.2,0.89,0.98,0.77,0.68,0.9,0.68,0.62,0.62,0.74,0.63,0.58,0.61,0.59
f_1,1.26,1.0,1.0,0.96,0.87,0.75,0.58,0.7,0.65,0.59,0.61,0.56,0.49,0.51,0.45,0.58
c_1,0.87,1.0,1.0,1.04,1.25,0.94,0.72,0.47,0.63,0.59,0.51,0.57,0.6,0.54,0.54,0.58
d_1,1.1,1.05,0.92,1.0,0.93,0.82,0.71,0.65,0.59,0.85,0.73,0.64,0.58,0.65,0.57,0.46
b_1,0.99,1.16,0.8,1.07,1.0,1.28,0.74,0.66,0.76,0.84,0.73,0.66,0.69,0.54,0.61,0.61
a_1,1.29,1.31,1.07,1.19,0.81,1.0,0.9,0.84,0.87,0.79,0.86,0.76,0.77,0.72,0.7,0.68
h_1,1.46,1.73,1.39,1.41,1.34,1.14,1.0,0.93,1.16,0.81,0.83,0.87,0.92,0.87,0.77,0.83
d_0,1.13,1.4,2.12,1.49,1.56,1.14,1.09,1.0,1.09,0.82,0.96,0.94,0.93,0.86,0.95,0.91
g_1,1.46,1.47,1.6,1.66,1.37,1.17,0.9,0.89,1.0,0.98,0.92,1.07,0.85,0.84,0.98,0.79
c_0,1.56,1.67,1.66,1.24,1.24,1.25,1.25,1.22,1.02,1.0,1.32,1.06,0.95,0.98,0.94,0.88
b_0,1.58,1.64,1.94,1.38,1.38,1.16,1.17,1.08,1.18,0.8,1.0,1.02,0.97,1.17,0.95,0.84
f_0,1.34,1.89,1.75,1.59,1.51,1.29,1.18,0.99,0.93,0.97,0.99,1.0,1.06,1.02,1.13,0.73
h_0,1.65,1.93,1.64,1.7,1.48,1.22,1.07,1.09,1.19,1.04,1.02,0.95,1.0,0.87,0.94,1.06
a_0,1.67,2.0,1.83,1.61,1.77,1.31,1.18,1.19,1.23,1.02,0.85,1.0,1.12,1.0,1.03,0.97
e_0,1.76,2.14,1.77,1.73,1.55,1.49,1.28,1.06,1.11,1.05,1.13,0.84,1.09,0.94,1.0,0.9
g_0,1.7,1.81,1.72,2.16,1.59,1.46,1.21,1.07,1.3,1.2,1.22,1.35,0.96,0.97,1.12,1.0
