,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.65,1.64,1.51,1.24,1.3,1.29,0.63,1.09,0.58,0.43,0.54,0.43,0.41,0.46,0.47,0.26
f_1,1.2,0.66,1.55,1.6,1.36,1.04,0.5,0.57,0.54,0.67,0.51,0.79,0.35,0.44,0.41,0.43
e_1,1.55,0.93,0.65,1.59,1.57,1.42,0.73,0.7,0.54,0.85,0.6,0.6,0.51,0.53,0.63,0.54
c_1,1.92,1.36,1.29,0.64,1.57,1.2,0.64,0.33,0.66,0.66,0.45,0.47,0.44,0.51,0.55,0.47
b_1,1.68,1.81,1.5,0.96,0.62,2.3,0.73,0.62,0.6,0.62,0.99,0.52,0.46,0.58,0.51,0.42
a_1,1.67,2.03,1.82,2.43,0.94,0.58,0.77,0.56,0.62,0.81,0.73,0.84,0.49,0.99,0.69,0.55
h_1,1.99,2.29,2.28,2.13,2.04,1.91,0.58,0.82,0.72,1.08,0.71,0.78,0.88,0.65,0.73,0.74
d_0,3.17,2.21,1.34,2.88,2.19,2.34,1.24,0.63,0.86,1.15,1.03,1.03,0.77,0.84,0.84,0.87
c_0,1.51,2.48,2.53,3.7,2.69,2.31,1.11,1.07,0.63,1.16,0.96,0.76,0.67,0.85,0.68,0.76
g_1,2.63,2.44,2.17,2.55,2.41,2.04,0.91,0.9,0.85,0.55,0.8,0.93,0.51,0.78,0.8,0.8
b_0,2.01,2.65,2.44,3.27,3.14,2.13,1.24,0.83,0.58,1.09,0.6,0.85,0.71,0.91,1.01,0.67
f_0,2.5,3.48,2.52,2.53,2.69,2.07,1.13,1.04,0.85,0.78,0.89,0.6,0.78,0.97,0.99,0.52
h_0,2.81,2.89,2.45,2.73,2.95,2.25,1.58,0.96,0.99,1.27,0.9,0.93,1.1,0.85,0.79,0.87
a_0,2.48,3.1,2.78,2.77,4.02,3.66,1.42,0.95,0.86,1.55,0.66,0.93,0.82,0.57,0.91,0.88
e_0,2.72,4.14,3.98,2.66,2.84,2.78,1.12,1.24,1.14,1.14,1.03,0.57,0.9,0.94,0.57,0.77
g_0,3.43,3.38,2.54,2.97,3.62,2.74,1.15,0.97,1.1,1.5,1.05,1.27,0.68,1.05,0.9,0.94
