,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.06,2.43,2.08,2.11,1.81,1.55,0.67,0.85,0.58,0.58,0.96,0.65,0.39,0.43,0.55,0.62
e_1,1.44,1.06,2.53,2.44,2.31,2.39,0.96,0.96,0.66,0.83,0.85,0.61,0.48,1.14,0.72,0.52
d_1,2.51,2.36,1.06,2.2,1.98,1.86,0.86,0.55,0.8,0.9,0.6,0.67,0.48,0.57,0.48,0.35
c_1,2.67,2.16,2.95,1.07,3.35,2.02,0.91,1.02,1.08,0.46,0.68,0.68,0.53,0.73,0.64,0.51
b_1,3.08,3.09,2.41,1.52,1.06,2.73,1.02,1.02,0.86,0.87,0.75,1.06,0.8,0.73,0.67,0.58
a_1,4.73,3.64,3.84,3.8,2.33,1.07,1.56,1.57,1.27,1.25,1.21,1.39,1.06,1.03,2.06,0.83
h_1,6.58,5.66,5.98,5.84,5.53,4.08,1.33,2.28,1.79,1.58,1.85,1.58,1.73,1.31,1.47,1.51
g_1,6.75,6.36,7.81,6.43,6.98,6.19,2.31,1.33,1.76,1.97,2.21,1.87,1.2,1.73,1.71,1.67
c_0,7.94,8.64,4.28,11.3,6.51,4.99,3.01,3.28,1.53,3.15,2.06,2.78,1.62,1.98,1.97,1.42
d_0,8.08,4.65,11.46,8.96,7.71,6.55,3.33,3.43,1.91,1.58,1.96,2.05,1.66,2.47,2.41,1.76
f_0,12.77,6.27,7.6,9.08,7.27,6.9,2.82,1.81,2.24,2.64,1.53,2.15,1.83,3.6,1.99,1.14
b_0,8.01,6.78,7.16,9.76,11.21,6.13,3.26,2.91,1.39,2.46,2.13,1.57,1.92,2.09,2.29,1.62
h_0,10.96,10.26,9.98,10.86,8.86,8.27,4.95,4.06,2.93,2.88,2.56,2.52,3.08,2.16,2.54,2.06
e_0,16.95,11.09,9.03,11.4,10.75,7.09,5.0,4.01,2.75,2.84,1.54,3.03,2.64,1.56,2.45,1.9
a_0,11.85,10.31,10.81,12.7,12.44,10.68,3.75,4.01,2.69,3.21,2.67,1.76,2.46,2.61,1.62,2.22
g_0,13.08,11.29,12.37,12.67,12.66,10.23,3.15,5.16,3.28,3.32,3.66,3.64,2.51,3.13,2.43,3.34
