,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,0.96,0.88,1.02,0.94,0.89,0.82,1.37,1.08,1.05,1.04,0.91,0.9,1.0,0.9
f_1,0.89,1.0,1.29,1.04,0.88,1.04,0.88,1.02,0.87,0.93,1.02,0.68,0.86,0.94,0.88,1.03
e_1,1.04,0.77,1.0,1.18,1.05,0.87,1.15,1.06,0.98,0.97,1.41,1.14,1.08,1.08,1.14,1.05
c_1,1.14,0.97,0.84,1.0,1.49,0.86,0.95,1.07,0.82,0.82,0.71,1.03,0.97,0.99,0.86,1.02
b_1,0.98,1.13,0.94,0.67,1.0,1.78,1.04,0.98,1.05,0.92,0.92,0.89,1.01,1.01,0.96,0.99
a_1,1.05,0.97,1.15,1.17,0.57,1.0,1.26,1.1,1.0,1.34,1.25,1.0,1.36,1.33,1.25,1.06
h_1,1.11,1.14,0.89,1.05,0.92,0.83,1.0,1.17,0.92,0.93,0.81,0.96,0.83,0.93,1.0,1.09
g_1,1.21,1.01,0.96,0.92,1.0,0.93,0.83,1.0,0.95,0.86,0.86,1.25,0.91,0.95,0.88,0.85
c_0,0.73,1.17,1.03,1.17,0.88,1.02,1.1,0.99,1.0,1.47,1.14,1.19,1.12,1.23,1.08,1.04
b_0,0.94,1.08,1.01,1.26,1.01,0.74,1.05,1.13,0.69,1.0,1.06,1.02,1.06,1.2,0.98,0.96
d_0,0.97,0.94,0.72,1.45,1.11,0.83,1.21,1.15,0.85,0.95,1.0,1.07,1.04,1.0,1.15,1.07
f_0,0.94,1.4,0.88,1.02,1.05,1.04,1.04,0.82,0.87,0.98,0.94,1.0,1.06,0.86,1.48,0.82
h_0,1.04,1.19,0.93,1.05,0.98,0.74,1.15,1.11,0.87,0.97,0.94,0.97,1.0,0.89,1.03,1.19
a_0,1.05,1.03,0.89,1.04,1.05,0.81,1.1,1.12,0.84,0.8,0.97,1.19,1.15,1.0,0.92,1.27
e_0,0.92,1.19,0.92,1.21,1.02,0.85,0.95,1.05,0.96,1.03,0.85,0.68,1.03,1.16,1.0,1.02
g_0,1.11,1.01,0.95,1.08,1.0,0.94,0.88,1.16,0.99,1.07,0.89,1.2,0.86,0.76,1.01,1.0
