,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.92,0.55,0.72,0.38,0.53,0.48,0.78,1.91,1.02,0.85,1.17,1.03,1.04,0.87,0.43,0.92
f_1,1.23,17.42,0.47,0.55,0.4,0.49,0.83,0.78,0.75,0.64,0.83,0.29,0.81,0.85,0.81,0.72
c_1,0.43,0.52,18.51,0.56,1.22,0.45,0.84,0.81,0.25,0.78,0.57,0.88,1.03,0.89,0.91,0.9
d_1,0.44,0.6,0.36,21.04,0.5,0.45,0.97,0.41,2.11,1.08,1.42,1.12,1.07,1.19,1.05,1.16
b_1,0.39,0.58,0.51,0.48,23.66,1.42,0.82,0.72,0.69,0.76,0.18,0.79,0.87,0.61,1.06,0.96
a_1,0.45,0.67,0.65,0.59,0.43,30.05,0.9,0.93,1.03,0.87,0.98,0.96,0.95,0.37,0.91,0.88
h_1,0.61,0.95,0.62,0.71,0.58,0.66,5.89,0.94,1.09,1.61,0.92,1.18,0.57,1.22,1.44,1.65
d_0,0.64,0.61,2.03,0.3,0.6,0.64,1.13,2.83,0.83,0.95,1.4,1.29,1.41,1.21,1.23,1.17
c_0,0.74,0.66,0.41,1.04,0.41,0.76,1.02,1.35,3.27,1.19,3.16,1.3,1.27,1.31,1.22,1.48
g_1,0.51,0.45,0.65,1.32,0.66,0.59,1.21,0.98,1.12,7.89,1.09,2.65,0.97,1.4,1.46,0.63
b_0,0.81,0.67,0.78,0.84,0.31,0.54,1.25,1.42,1.11,1.11,3.72,1.24,1.47,2.7,1.06,1.48
f_0,0.54,0.26,0.89,0.67,0.84,0.86,1.41,1.3,1.29,1.34,1.22,4.47,1.19,1.39,2.7,1.4
h_0,0.55,1.06,0.75,0.8,0.81,0.56,0.68,1.4,1.19,1.47,1.24,1.03,0.74,1.17,1.21,1.74
a_0,0.82,0.63,0.75,0.74,0.51,0.34,1.36,1.34,1.29,1.45,1.26,1.78,1.55,4.93,1.25,1.36
e_0,0.35,0.89,0.66,0.96,0.64,0.77,1.42,1.28,1.18,1.47,1.33,1.41,1.27,1.82,5.02,1.14
g_0,0.56,0.54,0.66,1.75,0.63,0.52,1.17,0.86,1.1,0.61,1.11,2.07,1.35,1.23,1.59,0.89
