,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.05,1.13,1.65,1.85,1.78,1.7,0.69,0.6,0.7,0.5,0.46,0.65,0.39,0.48,0.43,0.57
f_1,2.0,1.05,1.58,1.82,1.66,1.41,0.5,0.58,0.7,0.48,0.49,0.58,0.32,0.41,0.42,0.37
d_1,2.09,1.96,1.05,1.76,1.64,1.4,0.64,0.78,0.47,0.62,0.61,0.46,0.41,0.44,0.27,0.41
c_1,1.63,1.85,2.11,1.05,2.04,1.45,0.72,0.37,0.59,0.55,0.46,0.45,0.39,0.48,0.4,0.44
b_1,1.96,2.27,2.04,1.31,1.05,1.78,0.86,0.6,0.7,0.65,0.65,0.59,0.41,0.56,0.43,0.52
a_1,2.39,3.22,2.86,2.61,1.65,1.06,1.17,0.88,1.12,0.83,1.2,0.8,0.77,1.26,0.6,0.74
h_1,4.43,6.02,4.76,4.82,4.45,4.04,1.27,1.72,1.83,1.52,1.23,1.34,1.39,1.14,1.33,1.12
d_0,3.9,5.19,6.25,6.67,5.49,4.66,1.9,1.39,2.03,1.41,1.6,1.67,1.48,1.38,1.58,1.48
g_1,5.66,6.08,6.41,6.37,5.9,4.59,1.77,1.93,1.28,1.6,1.5,1.81,1.07,1.39,1.51,1.42
c_0,6.09,6.45,4.19,8.69,5.86,4.87,2.26,2.47,2.16,1.44,2.29,1.78,1.5,1.55,1.4,1.59
b_0,6.58,6.7,5.81,8.87,7.6,5.06,2.75,2.16,2.29,1.16,1.42,1.85,1.62,1.81,1.47,1.55
f_0,6.2,8.64,6.96,7.01,6.09,5.51,2.45,2.19,1.6,1.78,1.76,1.42,1.48,1.46,1.08,1.93
h_0,8.42,8.95,7.24,8.02,7.85,6.34,3.45,2.3,2.96,2.07,1.98,2.14,2.02,1.84,1.87,1.91
a_0,8.52,9.04,8.34,9.99,10.49,7.13,3.04,3.05,2.87,2.18,1.56,2.28,2.21,1.48,2.12,2.06
g_0,9.05,9.62,9.73,8.92,9.14,7.33,2.34,2.8,3.15,2.67,2.55,2.59,1.77,1.85,2.07,2.11
e_0,11.13,14.53,8.44,9.12,8.16,7.29,3.66,3.12,3.29,2.74,3.17,1.46,2.16,2.34,1.9,1.52
