,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11.99,1.84,0.56,0.67,0.52,0.51,0.91,0.8,0.98,0.78,0.88,0.51,0.74,0.76,0.49,0.89
e_1,0.77,12.79,0.48,1.01,0.54,0.58,0.96,0.79,2.09,0.7,1.11,1.06,0.94,1.06,0.67,0.94
d_1,0.76,0.5,15.36,0.4,0.57,0.81,0.87,1.0,0.5,2.73,1.34,1.15,1.11,1.01,1.22,1.04
c_1,0.47,0.54,0.56,15.08,1.96,0.62,0.94,0.79,0.9,0.43,0.53,0.94,0.89,0.77,0.94,0.96
b_1,0.7,0.44,0.82,0.55,14.58,1.64,0.94,0.96,0.67,0.91,0.54,0.87,1.12,0.97,1.08,0.95
a_1,0.7,0.63,0.8,0.74,0.63,22.8,0.86,1.06,0.9,0.91,0.95,0.74,1.09,0.63,0.73,0.88
h_1,1.45,0.87,0.82,0.64,0.65,0.52,3.55,1.31,1.07,0.77,1.09,0.9,0.84,1.04,1.16,1.66
g_1,0.62,0.53,1.81,0.76,0.71,0.69,0.82,4.18,0.78,1.19,1.18,2.14,1.24,1.01,1.6,0.82
d_0,0.76,0.75,0.35,2.31,0.79,0.58,1.02,1.16,2.33,0.64,0.89,1.14,0.98,0.96,1.17,0.96
c_0,0.89,0.7,0.97,0.49,0.47,0.65,1.07,1.36,0.97,2.98,3.72,1.22,1.42,1.49,1.48,1.17
b_0,0.81,0.71,0.85,0.76,0.52,0.48,1.25,1.14,1.2,1.16,3.53,1.34,1.53,3.33,1.26,1.37
f_0,0.46,0.51,1.09,0.68,0.69,0.99,1.33,1.12,1.14,1.51,1.29,3.68,1.56,1.54,4.21,1.4
h_0,0.95,0.62,1.05,0.88,0.63,0.72,0.83,1.59,1.03,0.96,1.09,1.21,0.61,1.26,1.44,1.73
a_0,0.77,0.56,1.21,0.77,0.72,0.39,1.34,1.49,0.94,1.11,1.26,1.51,1.43,3.36,1.33,1.07
e_0,0.85,0.48,1.04,0.92,0.7,0.81,1.38,1.0,1.09,0.83,1.3,1.18,1.3,1.23,3.62,1.18
g_0,0.69,0.72,1.82,0.7,0.53,0.65,1.09,1.12,0.81,1.26,1.09,2.2,1.11,1.17,1.52,0.67
