,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,98.98,115.84,75.66,102.22,157.42,642.73,8940.04,21456.94,24453.28,32103.39,47721.99,37951.02,121517.68,136736.3,217546.77,181107.19
e_1,60.18,114.91,73.44,120.87,177.78,530.47,9600.27,22926.12,25002.33,42944.08,44690.45,56782.13,124148.88,135415.08,190281.29,177781.67
d_1,67.73,73.51,120.91,80.44,175.28,498.42,9917.36,34750.77,22020.11,22879.61,50576.64,49195.18,127462.73,130062.01,177205.87,225587.94
c_1,57.6,58.05,79.65,136.79,252.37,585.0,9003.02,18236.74,19139.06,22736.61,33940.91,47932.11,117040.25,107822.41,178712.65,193359.8
b_1,52.42,56.22,63.01,62.32,222.1,717.27,7929.56,19209.38,19529.61,20355.73,31567.84,40552.18,101259.65,92640.94,141073.06,155862.3
a_1,30.71,40.06,48.8,48.56,80.67,602.1,5254.68,13403.3,14320.0,14864.32,24997.8,27287.02,75550.52,77710.6,110493.8,110867.43
h_1,19.61,18.6,22.52,22.14,39.41,140.44,3196.91,5743.13,7648.62,7395.45,12536.77,12025.19,30590.88,32211.28,58882.52,53598.06
c_0,14.35,15.24,14.59,18.13,26.52,115.73,2126.08,5699.05,5106.04,6173.73,13939.5,10925.43,27807.87,32691.09,41218.82,45812.38
g_1,11.33,12.75,20.1,19.2,32.38,101.24,1719.43,4578.81,6555.19,4772.81,8510.36,12083.8,19801.13,27859.56,29197.6,43114.38
d_0,11.53,11.2,13.59,25.72,35.86,95.07,1873.11,3479.35,4885.77,6395.82,8325.43,9452.76,22312.2,26495.73,37253.61,39862.38
b_0,10.51,13.17,12.82,15.85,23.48,80.18,1554.8,3416.87,3882.96,4601.84,9526.94,8112.5,20926.58,36442.71,32299.78,31658.71
f_0,9.76,9.07,14.66,14.65,27.22,88.2,1809.0,3881.21,3695.66,4203.54,7149.64,10300.36,18243.59,24041.96,28242.4,56481.4
h_0,9.22,9.66,10.28,11.57,19.41,63.73,1079.15,2667.84,3754.92,3307.55,5473.54,5876.52,13467.68,15705.01,26841.55,22525.43
a_0,7.67,8.83,9.65,11.98,20.47,51.83,1232.56,2697.0,2475.71,3346.8,4334.95,5559.06,15175.32,20395.6,19864.21,24357.65
g_0,6.03,7.66,10.97,10.31,18.65,52.91,961.86,2501.33,2551.71,2842.88,4799.62,7049.99,12740.72,14225.06,18748.6,25538.55
e_0,6.82,7.05,8.63,9.41,17.42,58.49,1016.7,2314.55,2050.91,2526.63,4174.19,4380.66,13109.8,13020.1,18823.72,29311.1
