,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.23,0.25,0.17,0.26,0.18,0.15,0.41,0.93,0.33,0.46,0.46,0.41,0.69,0.49,0.1,0.41
f_1,0.44,2.26,0.22,0.18,0.19,0.17,0.38,0.42,0.32,0.56,0.4,0.12,0.49,0.29,0.32,0.48
d_1,0.23,0.34,2.4,0.13,0.13,0.17,0.47,0.12,0.34,0.8,0.54,0.42,0.52,0.36,0.47,0.51
c_1,0.23,0.22,0.15,2.45,0.46,0.14,0.4,0.52,0.28,0.09,0.42,0.39,0.56,0.32,0.39,0.48
b_1,0.2,0.17,0.24,0.26,2.53,0.34,0.32,0.38,0.43,0.39,0.08,0.59,0.59,0.31,0.31,0.49
a_1,0.23,0.22,0.26,0.25,0.14,2.97,0.44,0.4,0.47,0.37,0.5,0.45,0.75,0.07,0.42,0.55
h_1,0.41,0.61,0.36,0.37,0.31,0.24,2.86,0.82,0.69,0.61,0.82,0.66,0.36,0.59,0.64,1.34
d_0,0.3,0.38,0.17,0.82,0.43,0.33,0.58,2.23,0.53,0.6,0.88,0.78,0.98,0.8,0.79,1.03
g_1,0.34,0.34,0.66,0.22,0.4,0.34,0.85,0.65,3.18,0.86,0.59,1.22,1.01,0.71,0.75,0.35
c_0,0.37,0.49,0.5,0.17,0.22,0.29,0.79,1.04,0.69,2.43,1.61,0.89,0.78,0.97,0.61,1.29
b_0,0.39,0.47,0.49,0.39,0.1,0.26,0.77,1.03,0.69,0.91,2.48,0.87,1.17,1.34,0.97,1.2
f_0,0.38,0.15,0.36,0.39,0.51,0.38,0.77,1.08,0.73,0.82,0.71,2.59,1.0,0.72,1.62,0.86
h_0,0.38,0.6,0.42,0.39,0.41,0.27,0.21,0.82,0.79,0.7,0.66,0.6,0.34,0.53,0.5,1.01
a_0,0.44,0.52,0.45,0.36,0.31,0.12,0.87,1.04,0.47,0.71,0.99,0.82,1.14,2.79,0.63,0.82
e_0,0.12,0.48,0.5,0.42,0.46,0.25,0.74,1.07,0.62,1.05,0.74,1.0,1.49,0.77,2.68,1.25
g_0,0.38,0.32,0.7,0.38,0.36,0.22,0.59,0.66,0.36,0.87,0.94,0.95,0.77,0.83,0.78,0.4
