,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.94,0.42,0.34,0.48,0.28,0.29,0.29,0.49,0.24,0.24,0.29,0.25,0.23,0.27,0.23,0.16
f_1,0.67,0.94,0.37,0.39,0.32,0.23,0.29,0.24,0.24,0.26,0.19,0.12,0.17,0.2,0.19,0.11
d_1,0.5,0.53,0.94,0.31,0.31,0.27,0.31,0.18,0.2,0.41,0.26,0.25,0.2,0.23,0.21,0.2
c_1,0.41,0.48,0.49,0.94,0.56,0.24,0.29,0.22,0.25,0.13,0.21,0.21,0.17,0.21,0.16,0.18
b_1,0.49,0.47,0.52,0.36,0.94,0.54,0.33,0.24,0.26,0.22,0.15,0.3,0.19,0.28,0.22,0.24
a_1,0.51,0.59,0.53,0.52,0.28,0.94,0.38,0.32,0.27,0.33,0.31,0.31,0.14,0.3,0.37,0.21
h_1,0.7,0.87,0.68,0.59,0.53,0.39,0.75,0.38,0.41,0.37,0.34,0.36,0.28,0.27,0.37,0.29
d_0,0.56,0.82,0.5,1.12,0.64,0.44,0.49,0.64,0.42,0.32,0.39,0.38,0.32,0.37,0.33,0.3
g_1,0.69,0.56,1.07,0.68,0.5,0.44,0.49,0.37,0.74,0.45,0.43,0.58,0.33,0.3,0.32,0.34
c_0,0.93,0.79,0.64,0.6,0.52,0.45,0.51,0.58,0.35,0.63,0.66,0.43,0.33,0.43,0.48,0.29
b_0,0.73,1.0,0.76,0.84,0.39,0.36,0.54,0.5,0.39,0.37,0.65,0.43,0.6,0.39,0.41,0.34
f_0,0.7,0.65,0.86,0.81,0.57,0.45,0.55,0.52,0.39,0.41,0.43,0.67,0.41,0.42,0.38,0.57
a_0,0.76,0.9,0.92,0.98,0.68,0.3,0.62,0.61,0.4,0.45,0.38,0.43,0.64,0.48,0.41,0.36
h_0,0.83,1.16,0.83,0.79,0.5,0.54,0.45,0.55,0.58,0.41,0.44,0.43,0.35,0.32,0.5,0.31
g_0,0.81,0.88,1.11,0.88,0.6,0.39,0.61,0.51,0.29,0.41,0.51,0.63,0.42,0.44,0.34,0.31
e_0,0.52,1.27,0.89,0.87,0.67,0.5,0.61,0.52,0.48,0.49,0.43,0.39,0.4,0.5,0.44,0.6
