,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,100.63,21.12,16.66,19.17,28.48,68.56,1958.27,2831.83,3371.14,3991.03,7818.08,,19932.72,21419.3,23114.28,39361.27
e_1,9.73,106.67,17.87,13.61,25.17,82.22,1952.29,4789.14,5255.47,6253.06,7545.6,7608.39,19906.06,17238.98,,31385.39
c_1,8.77,11.03,131.89,18.36,34.59,95.65,2284.11,2605.39,3383.39,,5440.25,9318.96,17098.84,24763.85,17660.92,31365.39
d_1,10.51,11.24,11.0,142.19,21.55,62.09,2155.97,,3483.99,8529.08,6524.51,8389.64,16931.28,20921.08,19790.66,29633.62
b_1,7.5,9.66,11.29,12.4,187.02,110.08,2313.6,2665.63,3251.34,4071.0,,10636.75,15464.61,14281.21,22916.2,18119.19
a_1,7.42,7.55,8.56,8.94,9.8,539.07,1009.12,1490.88,,2184.04,,5440.21,10637.31,,,19080.37
h_1,6.96,5.81,7.06,7.66,7.32,33.8,3421.18,1101.88,2554.42,2383.86,2687.16,3562.51,,8638.76,11748.37,20498.62
d_0,5.93,5.01,10.45,,12.29,45.13,1164.85,3473.04,1742.04,2077.8,4303.36,3622.96,6689.76,9530.48,7984.02,21352.15
g_1,4.19,3.71,5.7,9.37,7.67,,536.29,996.73,6234.33,2166.88,2124.82,4414.35,4322.44,7867.13,8174.04,
c_0,5.54,2.74,,4.68,7.93,37.55,773.53,1549.43,1558.92,5372.56,5043.97,3778.69,7993.52,9562.76,7056.04,12381.12
b_0,3.81,4.16,5.48,5.7,,,844.52,917.39,1602.58,1978.77,7427.44,3425.47,6999.35,10094.83,7981.19,10994.99
f_0,,3.71,5.58,5.56,6.43,26.33,722.38,1077.81,1332.71,1479.99,1919.64,9165.86,5668.96,6908.92,11581.21,11628.33
h_0,4.01,3.85,3.98,6.81,8.52,28.71,,1153.4,1895.9,1628.65,2219.52,3854.66,,6805.43,6018.48,18196.79
a_0,2.9,3.08,3.5,4.1,4.77,,551.43,805.02,1045.27,938.76,1593.39,2432.45,4642.92,17350.62,,8670.04
e_0,2.69,,3.96,4.22,5.4,,468.79,743.58,1088.62,1535.52,1952.49,1981.88,4887.44,,18039.59,10895.19
g_0,2.82,3.21,4.87,6.13,8.35,22.21,502.84,551.85,,1317.44,1736.82,3496.29,4721.2,5553.15,5657.92,
