,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.02,1.14,0.8,0.89,0.68,0.42,0.38,0.4,0.47,0.41,0.35,0.29,0.27,0.27,0.31
c_1,0.98,1.0,0.89,1.33,1.3,0.78,0.4,0.34,0.29,0.43,0.3,0.3,0.32,0.34,0.29,0.35
e_1,0.87,1.12,1.0,0.99,0.8,0.78,0.54,0.64,0.45,0.45,0.43,0.38,0.29,0.38,0.32,0.35
b_1,1.25,0.75,1.01,1.0,0.99,1.11,0.59,0.46,0.48,0.52,0.35,0.39,0.35,0.33,0.34,0.31
d_1,1.12,0.77,1.24,1.01,1.0,0.73,0.47,0.6,0.66,0.35,0.46,0.48,0.44,0.41,0.35,0.27
a_1,1.46,1.29,1.29,0.9,1.38,1.0,0.7,0.54,0.5,0.56,0.57,0.52,0.55,0.43,0.44,0.45
h_1,2.45,2.45,1.82,1.74,2.14,1.4,1.0,0.92,0.85,1.21,0.86,0.74,0.69,0.94,0.52,0.71
d_0,2.47,3.07,1.55,2.05,1.82,1.82,1.05,1.0,0.87,0.91,0.65,0.76,0.71,0.7,0.77,0.64
c_0,2.57,3.51,2.23,2.06,1.48,2.05,1.2,1.17,1.0,0.99,1.23,0.89,0.93,0.91,0.72,0.74
g_1,2.3,2.42,2.19,1.91,2.78,1.68,0.83,1.05,1.0,1.0,0.88,0.97,0.81,0.78,0.66,0.77
b_0,2.5,3.57,2.36,2.67,2.22,1.78,1.16,1.48,0.81,1.19,1.0,0.92,1.29,0.89,0.82,1.01
f_0,2.87,3.57,2.63,2.4,2.07,1.85,1.37,1.22,1.09,0.98,1.1,1.0,0.81,0.9,1.1,0.65
a_0,3.51,3.02,3.01,2.95,2.48,1.62,1.52,1.43,1.06,1.24,0.76,1.24,1.0,1.17,1.03,0.84
h_0,3.59,3.04,2.54,3.02,2.46,2.38,1.01,1.39,1.11,1.28,1.12,1.12,0.87,1.0,0.92,0.92
e_0,3.68,3.42,3.42,2.84,3.11,2.47,2.01,1.25,1.28,1.43,1.07,0.95,0.84,1.08,1.0,1.03
g_0,3.22,3.05,2.86,3.1,3.69,2.37,1.41,1.47,1.31,1.24,0.99,1.63,1.11,1.09,0.96,1.0
