,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.58,0.07,0.09,0.07,0.08,0.06,0.31,0.74,0.25,0.31,0.29,0.4,0.68,0.37,,0.48
f_1,0.13,5.98,0.07,0.08,0.07,0.11,0.24,0.36,0.25,0.37,0.51,,0.74,0.25,0.23,0.53
c_1,0.08,0.08,6.1,0.07,0.15,0.07,0.43,0.34,0.31,,0.29,0.36,0.64,0.29,0.33,0.48
d_1,0.07,0.07,0.07,6.51,0.09,0.05,0.18,,0.32,0.91,0.4,0.36,0.6,0.33,0.37,0.56
b_1,0.06,0.06,0.08,0.08,7.4,0.13,0.3,0.37,0.3,0.48,,0.39,0.53,0.29,0.4,0.74
a_1,0.08,0.08,0.05,0.06,0.08,10.75,0.42,0.45,,0.45,0.38,0.27,0.77,,0.41,0.42
h_1,0.29,0.44,0.3,0.21,0.29,0.31,15.54,1.23,1.66,0.94,1.65,1.76,,1.53,1.03,2.49
d_0,0.41,0.36,0.75,,0.4,0.35,1.64,11.88,1.56,1.76,1.62,1.28,2.74,1.73,2.14,2.93
g_1,0.32,0.2,0.25,0.4,0.27,0.2,0.97,0.99,17.8,1.4,1.34,2.66,2.78,,1.97,
c_0,0.33,0.48,,0.4,0.28,0.41,1.6,1.97,1.29,11.83,3.67,2.18,2.42,2.54,1.91,2.8
b_0,0.36,0.38,0.45,0.49,,0.34,1.49,1.87,1.22,1.68,14.29,1.72,2.36,3.51,2.04,2.54
f_0,0.32,,0.37,0.38,0.36,0.34,1.42,2.11,1.43,2.05,1.95,14.81,2.81,2.49,3.5,3.37
h_0,0.62,0.62,0.55,0.64,0.55,0.48,,2.82,2.94,3.17,2.45,2.41,,2.99,2.74,6.97
a_0,0.45,0.52,0.27,0.23,0.26,,1.53,2.18,1.29,2.73,2.13,1.7,2.99,20.62,,2.3
e_0,,0.55,0.47,0.46,0.35,0.41,1.37,1.94,1.28,,1.7,1.69,3.35,,23.08,2.86
g_0,0.52,0.45,0.54,1.11,0.42,0.61,2.3,2.6,,2.58,1.65,4.99,3.57,3.26,2.66,
