,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.13,2.75,5.19,4.72,5.09,4.74,1.71,1.02,1.94,1.15,1.17,1.39,0.68,1.11,2.81,0.82
f_1,4.57,1.13,4.91,5.28,4.84,5.2,1.03,1.11,1.63,0.96,0.99,2.56,0.53,0.99,0.93,0.75
d_1,5.3,5.65,1.12,5.66,5.38,5.55,1.53,1.12,1.08,2.5,0.94,0.97,0.77,0.97,1.25,0.51
c_1,5.27,7.17,7.16,1.14,6.39,5.77,1.85,3.4,2.12,0.69,1.47,1.14,0.91,1.3,1.33,0.94
b_1,7.59,8.6,7.65,3.99,1.14,8.14,2.37,1.69,1.65,1.65,2.43,1.45,1.01,1.57,1.67,1.21
a_1,10.42,9.12,7.95,12.07,4.52,1.15,3.01,2.15,2.19,2.35,2.83,1.91,2.05,10.51,1.72,1.97
h_1,16.77,20.01,16.24,19.02,17.57,16.48,1.77,3.23,6.11,4.05,3.79,3.65,4.72,3.53,2.79,2.95
c_0,22.23,23.99,11.79,43.43,27.01,21.46,6.58,2.21,6.06,4.77,4.04,4.24,3.33,4.1,3.83,2.95
g_1,24.66,31.22,21.25,21.56,27.01,17.76,4.35,4.4,1.83,4.88,4.21,4.74,2.49,4.84,3.62,5.43
d_0,12.53,23.67,41.47,24.66,25.37,30.75,6.8,4.86,8.68,2.52,5.51,3.91,3.46,4.4,5.43,3.58
b_0,24.99,24.47,22.95,24.87,61.27,22.39,6.43,2.7,6.53,4.92,2.36,4.74,3.18,6.07,4.44,3.29
f_0,26.92,62.45,25.69,27.71,25.37,20.2,6.58,4.83,4.68,5.41,5.01,2.33,4.3,5.6,4.71,2.73
h_0,30.58,33.23,32.78,31.98,33.05,27.47,16.39,5.98,12.0,6.19,7.39,6.38,8.78,5.6,5.28,5.05
a_0,32.13,37.34,31.01,42.79,52.33,49.05,10.72,5.11,8.92,7.58,3.37,6.03,5.42,2.42,5.01,4.56
e_0,63.72,54.06,31.87,41.57,35.38,26.41,8.62,6.86,10.15,7.24,6.81,3.6,5.42,6.07,2.46,4.5
g_0,37.85,46.44,37.82,36.84,39.87,38.15,8.36,7.69,23.57,6.64,8.19,7.82,4.62,8.29,7.52,8.2
