,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,0.93,1.05,0.89,0.7,0.55,0.52,0.42,0.61,0.42,0.5,0.37,0.32,0.36,0.34
f_1,1.29,1.0,0.93,0.95,0.76,0.63,0.43,0.47,0.41,0.43,0.4,0.36,0.27,0.32,0.25,0.31
d_1,1.04,1.1,1.0,0.92,0.78,0.62,0.52,0.37,0.56,0.49,0.47,0.4,0.35,0.31,0.34,0.28
c_1,0.93,1.08,1.09,1.0,1.3,0.63,0.49,0.5,0.41,0.34,0.4,0.39,0.39,0.36,0.3,0.33
b_1,1.1,1.29,1.27,0.77,1.0,1.3,0.6,0.54,0.57,0.44,0.47,0.42,0.43,0.34,0.38,0.4
a_1,1.43,1.56,1.64,1.58,0.78,1.0,0.81,0.63,0.61,0.72,0.73,0.58,0.62,0.47,0.53,0.52
h_1,1.86,2.31,1.94,1.98,1.79,1.23,1.0,1.02,0.84,0.81,0.78,0.73,0.7,0.68,0.66,0.73
g_1,1.99,2.09,2.64,2.0,1.87,1.49,1.0,1.0,0.93,0.81,0.88,1.08,0.76,0.76,0.73,0.7
c_0,2.3,2.41,1.82,2.61,1.79,1.6,1.18,1.02,1.0,1.09,1.25,0.87,0.81,0.81,0.77,0.75
d_0,1.66,2.22,2.12,2.98,2.32,1.43,1.22,1.17,0.87,1.0,0.86,0.89,0.8,0.81,0.73,0.8
b_0,2.38,2.41,2.07,2.61,2.17,1.36,1.28,1.09,0.78,1.13,1.0,0.93,0.95,1.12,0.79,0.77
f_0,1.96,2.74,2.44,2.75,2.43,1.7,1.32,0.96,1.1,1.1,1.06,1.0,0.92,0.89,1.23,0.63
h_0,2.88,3.6,2.93,2.61,2.33,1.59,1.45,1.31,1.2,1.24,1.07,1.1,1.0,0.93,0.96,1.11
a_0,3.15,2.98,3.16,2.84,3.0,2.08,1.51,1.44,1.22,1.17,0.94,1.14,1.07,1.0,0.88,0.95
e_0,2.91,4.04,2.94,3.41,2.81,1.88,1.5,1.26,1.15,1.3,1.31,0.87,0.98,1.1,1.0,0.92
g_0,2.87,3.23,3.71,3.02,2.64,1.94,1.4,1.51,1.35,1.28,1.29,1.51,0.9,1.01,1.07,1.0
