,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.07,0.84,0.89,0.96,1.1,1.21,1.54,0.79,,1.12,0.91,0.94,1.0,0.69,1.02
f_1,0.94,1.0,1.33,0.89,1.07,0.91,0.96,1.03,1.16,1.11,1.0,,0.87,0.95,0.75,0.92
e_1,1.19,0.75,1.0,0.95,1.05,1.13,0.93,0.99,0.87,1.18,0.94,1.25,0.95,1.03,1.04,
c_1,1.12,1.12,1.05,1.0,1.49,1.0,0.72,,0.91,0.74,0.8,0.78,1.26,1.07,1.0,1.35
b_1,1.04,0.93,0.95,0.67,1.0,,1.18,1.09,0.97,0.87,,1.24,1.2,0.84,1.1,0.74
a_1,0.91,1.1,0.88,1.0,,1.0,1.06,1.1,1.03,0.97,1.24,1.14,1.08,,1.16,
h_1,0.83,1.04,1.08,1.4,0.85,0.94,1.0,0.98,1.19,1.0,0.92,0.98,,0.91,1.26,0.72
c_0,0.65,0.97,1.01,,0.92,0.91,1.03,1.0,0.98,1.12,1.41,0.92,1.18,1.18,1.08,1.03
g_1,1.26,0.86,1.15,1.1,1.03,0.97,0.84,1.02,1.0,0.68,0.94,1.16,1.04,1.1,,0.8
d_0,,0.9,0.85,1.35,1.15,1.03,1.0,0.89,1.47,1.0,1.39,0.83,1.0,0.84,0.8,0.84
b_0,0.89,1.0,1.06,1.24,,0.81,1.09,0.71,1.06,0.72,1.0,1.21,1.05,1.83,1.08,0.97
f_0,1.1,,0.8,1.27,0.81,0.87,1.02,1.09,0.86,1.2,0.82,1.0,0.89,0.9,0.94,1.61
h_0,1.06,1.15,1.05,0.79,0.83,0.92,,0.85,0.97,1.0,0.95,1.13,,0.92,1.26,1.03
a_0,1.0,1.05,0.97,0.93,1.2,,1.1,0.85,0.91,1.19,0.55,1.11,1.09,1.0,1.36,1.07
g_0,1.44,1.34,0.96,1.0,0.91,0.86,0.79,0.93,,1.25,0.93,1.06,0.8,0.73,,1.21
e_0,0.98,1.09,,0.74,1.35,,1.39,0.97,1.25,1.2,1.03,0.62,0.97,0.93,0.83,1.0
